time_s,current_uA,applied_V,force_V,force_mN
32.7,6250.0,0.8,7.646,428.176
32.8,6250.0,0.8,7.646,428.176
32.9,6250.0,0.8,7.646,428.176
33.0,6250.0,0.8,7.646,428.176
33.1,6250.0,0.8,7.646,428.176
33.2,6250.0,0.8,7.646,428.176
33.3,6250.0,0.8,7.642,427.952
33.4,6250.0,0.8,7.642,427.952
33.5,6250.0,0.8,7.642,427.952
33.6,6250.0,0.8,7.642,427.952
33.7,6250.0,0.8,7.642,427.952
33.8,6250.0,0.8,7.645,428.12
33.9,6250.0,0.8,7.645,428.12
34.0,6250.0,0.8,7.645,428.12
34.1,6250.0,0.8,7.645,428.12
34.2,6250.0,0.8,7.645,428.12
34.3,6250.0,0.8,7.645,428.12
34.4,6250.0,0.8,7.645,428.12
34.5,6250.0,0.8,7.645,428.12
34.6,6250.0,0.8,7.645,428.12
34.7,6250.0,0.8,7.645,428.12
34.8,6250.0,0.8,7.643,428.008
34.9,6250.0,0.8,7.643,428.008
35.0,6250.0,0.8,7.643,428.008
35.1,6250.0,0.8,7.643,428.008
35.2,6250.0,0.8,7.643,428.008
35.3,6250.0,0.8,7.643,428.008
35.4,6250.0,0.8,7.643,428.008
35.5,6250.0,0.8,7.643,428.008
35.6,6250.0,0.8,7.643,428.008
35.7,6250.0,0.8,7.643,428.008
35.8,6250.0,0.8,7.642,427.952
35.9,6250.0,0.8,7.642,427.952
36.0,6250.0,0.8,7.642,427.952
36.1,6250.0,0.8,7.642,427.952
36.2,6250.0,0.8,7.642,427.952
36.3,6250.0,0.8,7.645,428.12
36.4,6250.0,0.8,7.645,428.12
36.5,6250.0,0.8,7.645,428.12
36.6,6250.0,0.8,7.645,428.12
36.7,6250.0,0.8,7.645,428.12
36.8,6250.0,0.8,7.643,428.008
36.9,6250.0,0.8,7.643,428.008
37.0,6250.0,0.8,7.643,428.008
37.1,6250.0,0.8,7.643,428.008
37.2,6250.0,0.8,7.643,428.008
37.3,6250.0,0.8,7.645,428.12
37.4,6250.0,0.8,7.645,428.12
37.5,6250.0,0.8,7.645,428.12
37.6,6250.0,0.8,7.645,428.12
37.7,6250.0,0.8,7.645,428.12
37.8,6250.0,0.8,7.643,428.008
37.9,6250.0,0.8,7.643,428.008
38.0,6250.0,0.8,7.643,428.008
38.1,6250.0,0.8,7.643,428.008
38.2,6250.0,0.8,7.643,428.008
38.3,6250.0,0.8,7.642,427.952
38.4,6250.0,0.8,7.642,427.952
38.5,6250.0,0.8,7.642,427.952
38.6,6250.0,0.8,7.642,427.952
38.7,6250.0,0.8,7.642,427.952
38.8,6250.0,0.8,7.645,428.12
38.9,6250.0,0.8,7.645,428.12
39.0,6250.0,0.8,7.645,428.12
39.1,6250.0,0.8,7.645,428.12
39.2,6250.0,0.8,7.645,428.12
39.3,6250.0,0.8,7.646,428.176
39.4,6250.0,0.8,7.646,428.176
39.5,6250.0,0.8,7.646,428.176
39.6,6250.0,0.8,7.646,428.176
39.7,6250.0,0.8,7.646,428.176
39.8,6250.0,0.8,7.646,428.176
39.9,6250.0,0.8,7.646,428.176
40.0,6250.0,0.8,7.646,428.176
40.1,6250.0,0.8,7.646,428.176
40.2,6250.0,0.8,7.646,428.176
40.3,6250.0,0.8,7.644,428.064
40.4,6250.0,0.8,7.644,428.064
40.5,6250.0,0.8,7.644,428.064
40.6,6250.0,0.8,7.644,428.064
40.7,6250.0,0.8,7.644,428.064
40.8,6250.0,0.8,7.645,428.12
40.9,6250.0,0.8,7.645,428.12
41.0,6250.0,0.8,7.645,428.12
41.1,6250.0,0.8,7.645,428.12
41.2,6250.0,0.8,7.645,428.12
41.3,6250.0,0.8,7.647,428.232
41.4,6250.0,0.8,7.647,428.232
41.5,6250.0,0.8,7.647,428.232
41.6,6250.0,0.8,7.647,428.232
41.7,6250.0,0.8,7.647,428.232
41.8,6250.0,0.8,7.646,428.176
41.9,6250.0,0.8,7.646,428.176
42.0,6250.0,0.8,7.646,428.176
42.1,6250.0,0.8,7.646,428.176
