time_s,force_V,confident,digits
128.5,3.15,True,"[0, 3, 1, 5, 0]"
129.0,3.15,True,"[0, 3, 1, 5, 0]"
129.5,3.15,True,"[0, 3, 1, 5, 0]"
130.0,3.15,True,"[0, 3, 1, 5, 0]"
130.5,3.15,True,"[0, 3, 1, 5, 0]"
131.0,3.15,True,"[0, 3, 1, 5, 0]"
131.5,3.15,True,"[0, 3, 1, 5, 0]"
132.0,3.15,True,"[0, 3, 1, 5, 0]"
132.5,3.15,True,"[0, 3, 1, 5, 0]"
133.0,3.15,True,"[0, 3, 1, 5, 0]"
133.5,3.15,True,"[0, 3, 1, 5, 0]"
134.0,3.15,True,"[0, 3, 1, 5, 0]"
134.5,3.15,True,"[0, 3, 1, 5, 0]"
135.0,3.15,True,"[0, 3, 1, 5, 0]"
135.5,3.15,True,"[0, 3, 1, 5, 0]"
136.0,3.15,True,"[0, 3, 1, 5, 0]"
136.5,3.15,True,"[0, 3, 1, 5, 0]"
137.0,3.15,True,"[0, 3, 1, 5, 0]"
137.5,3.15,True,"[0, 3, 1, 5, 0]"
138.0,3.15,True,"[0, 3, 1, 5, 0]"
138.5,3.15,True,"[0, 3, 1, 5, 0]"
139.0,3.15,True,"[0, 3, 1, 5, 0]"
139.5,3.15,True,"[0, 3, 1, 5, 0]"
140.0,3.15,True,"[0, 3, 1, 5, 0]"
140.5,3.15,True,"[0, 3, 1, 5, 0]"
141.0,3.15,True,"[0, 3, 1, 5, 0]"
141.5,3.15,True,"[0, 3, 1, 5, 0]"
142.0,3.15,True,"[0, 3, 1, 5, 0]"
142.5,3.15,True,"[0, 3, 1, 5, 0]"
143.0,3.15,True,"[0, 3, 1, 5, 0]"
143.5,3.15,True,"[0, 3, 1, 5, 0]"
144.0,3.15,True,"[0, 3, 1, 5, 0]"
144.5,3.15,True,"[0, 3, 1, 5, 0]"
145.0,3.15,True,"[0, 3, 1, 5, 0]"
145.5,3.17,True,"[0, 3, 1, 7, 0]"
146.0,3.15,True,"[0, 3, 1, 5, 0]"
146.5,3.17,True,"[0, 3, 1, 7, 0]"
147.0,3.17,True,"[0, 3, 1, 7, 0]"
147.5,3.17,True,"[0, 3, 1, 7, 0]"
148.0,3.17,True,"[0, 3, 1, 7, 0]"
148.5,3.17,True,"[0, 3, 1, 7, 0]"
149.0,3.17,True,"[0, 3, 1, 7, 0]"
149.5,3.17,True,"[0, 3, 1, 7, 0]"
150.0,3.17,True,"[0, 3, 1, 7, 0]"
150.5,3.17,True,"[0, 3, 1, 7, 0]"
151.0,3.17,True,"[0, 3, 1, 7, 0]"
151.5,3.17,True,"[0, 3, 1, 7, 0]"
152.0,3.17,True,"[0, 3, 1, 7, 0]"
152.5,3.17,True,"[0, 3, 1, 7, 0]"
153.0,3.17,True,"[0, 3, 1, 7, 0]"
153.5,3.17,True,"[0, 3, 1, 7, 0]"
154.0,3.17,True,"[0, 3, 1, 7, 0]"
154.5,3.17,True,"[0, 3, 1, 7, 0]"
155.0,3.17,True,"[0, 3, 1, 7, 0]"
155.5,3.17,True,"[0, 3, 1, 7, 0]"
156.0,3.15,True,"[0, 3, 1, 5, 0]"
156.5,3.17,True,"[0, 3, 1, 7, 0]"
157.0,3.17,True,"[0, 3, 1, 7, 0]"
157.5,3.17,True,"[0, 3, 1, 7, 0]"
158.0,3.17,True,"[0, 3, 1, 7, 0]"
158.5,3.18,True,"[0, 3, 1, 8, 0]"
159.0,3.18,True,"[0, 3, 1, 8, 0]"
159.5,3.17,True,"[0, 3, 1, 7, 0]"
160.0,3.17,True,"[0, 3, 1, 7, 0]"
160.5,3.17,True,"[0, 3, 1, 7, 0]"
161.0,3.17,True,"[0, 3, 1, 7, 0]"
161.5,3.18,True,"[0, 3, 1, 8, 0]"
162.0,3.17,True,"[0, 3, 1, 7, 0]"
162.5,3.18,True,"[0, 3, 1, 8, 0]"
163.0,3.17,True,"[0, 3, 1, 7, 0]"
163.5,3.17,True,"[0, 3, 1, 7, 0]"
164.0,3.18,True,"[0, 3, 1, 8, 0]"
164.5,3.17,True,"[0, 3, 1, 7, 0]"
165.0,3.17,True,"[0, 3, 1, 7, 0]"
165.5,3.18,True,"[0, 3, 1, 8, 0]"
166.0,3.18,True,"[0, 3, 1, 8, 0]"
166.5,3.18,True,"[0, 3, 1, 8, 0]"
167.0,3.18,True,"[0, 3, 1, 8, 0]"
167.5,3.18,True,"[0, 3, 1, 8, 0]"
168.0,3.18,True,"[0, 3, 1, 8, 0]"
168.5,3.18,True,"[0, 3, 1, 8, 0]"
169.0,3.18,True,"[0, 3, 1, 8, 0]"
169.5,3.18,True,"[0, 3, 1, 8, 0]"
170.0,3.18,True,"[0, 3, 1, 8, 0]"
170.5,3.18,True,"[0, 3, 1, 8, 0]"
171.0,3.18,True,"[0, 3, 1, 8, 0]"
171.5,3.18,True,"[0, 3, 1, 8, 0]"
172.0,3.18,True,"[0, 3, 1, 8, 0]"
172.5,3.18,True,"[0, 3, 1, 8, 0]"
173.0,3.18,True,"[0, 3, 1, 8, 0]"
173.5,3.18,True,"[0, 3, 1, 8, 0]"
174.0,3.18,True,"[0, 3, 1, 8, 0]"
174.5,3.18,True,"[0, 3, 1, 8, 0]"
175.0,3.18,True,"[0, 3, 1, 8, 0]"
175.5,3.18,True,"[0, 3, 1, 8, 0]"
176.0,3.18,True,"[0, 3, 1, 8, 0]"
176.5,3.18,True,"[0, 3, 1, 8, 0]"
177.0,3.18,True,"[0, 3, 1, 8, 0]"
177.5,3.18,True,"[0, 3, 1, 8, 0]"
178.0,3.18,True,"[0, 3, 1, 8, 0]"
