time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
11.7,5822.44,0.8,11.815,2.3634,134.59563,0.17733284584980236
11.8,5821.97,0.8,11.817,2.3634,134.59563,0.17733284584980236
11.9,5823.87,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.0,5824.35,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.1,5831.98,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.2,5829.6,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.3,5837.7,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.4,5834.84,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.5,5839.61,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.6,5837.23,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.7,5841.99,0.8,11.817,2.3634,134.59563,0.17733284584980236
12.8,5842.47,0.8,11.813,2.3634,134.59563,0.17733284584980236
12.9,5848.19,0.8,11.813,2.3634,134.59563,0.17733284584980236
13.0,5850.1,0.8,11.813,2.3634,134.59563,0.17733284584980236
13.1,5851.05,0.8,11.813,2.3634,134.59563,0.17733284584980236
13.2,5854.39,0.8,11.813,2.3634,134.59563,0.17733284584980236
13.3,5849.15,0.8,11.819,2.3632,134.58424,0.17731783926218708
13.4,5856.3,0.8,11.819,2.3632,134.58424,0.17731783926218708
13.5,5855.35,0.8,11.819,2.3632,134.58424,0.17731783926218708
13.6,5858.21,0.8,11.819,2.3632,134.58424,0.17731783926218708
13.7,5862.5,0.8,11.819,2.3632,134.58424,0.17731783926218708
13.8,5862.98,0.8,11.813,2.3632,134.58424,0.17731783926218708
13.9,5865.84,0.8,11.813,2.3632,134.58424,0.17731783926218708
14.0,5868.7,0.8,11.813,2.3632,134.58424,0.17731783926218708
14.1,5868.7,0.8,11.813,2.3632,134.58424,0.17731783926218708
14.2,5874.42,0.8,11.813,2.3632,134.58424,0.17731783926218708
14.3,5876.33,0.8,11.815,2.3634,134.59563,0.17733284584980236
14.4,5875.37,0.8,11.815,2.3634,134.59563,0.17733284584980236
14.5,5876.33,0.8,11.815,2.3634,134.59563,0.17733284584980236
14.6,5876.92,0.8,11.815,2.3634,134.59563,0.17733284584980236
14.7,5878.23,0.8,11.815,2.3634,134.59563,0.17733284584980236
