time_s,force_V,confident,digits
83.5,7.645,True,"[0, 7, 6, 4, 5]"
84.0,7.623,True,"[0, 7, 6, 2, 3]"
84.5,7.725,True,"[0, 7, 7, 2, 5]"
85.0,7.626,True,"[0, 7, 6, 2, 6]"
85.5,7.625,True,"[0, 7, 6, 2, 5]"
86.0,7.623,True,"[0, 7, 6, 2, 3]"
86.5,7.726,True,"[0, 7, 7, 2, 6]"
87.0,7.616,True,"[0, 7, 6, 1, 6]"
87.5,7.626,True,"[0, 7, 6, 2, 6]"
88.0,7.625,True,"[0, 7, 6, 2, 5]"
88.5,7.625,True,"[0, 7, 6, 2, 5]"
89.0,7.625,True,"[0, 7, 6, 2, 5]"
89.5,7.645,True,"[0, 7, 6, 4, 5]"
90.0,7.625,True,"[0, 7, 6, 2, 5]"
90.5,7.625,True,"[0, 7, 6, 2, 5]"
91.0,7.616,True,"[0, 7, 6, 1, 6]"
91.5,7.625,True,"[0, 7, 6, 2, 5]"
92.0,7.725,True,"[0, 7, 7, 2, 5]"
92.5,7.625,True,"[0, 7, 6, 2, 5]"
93.0,7.625,True,"[0, 7, 6, 2, 5]"
93.5,7.616,True,"[0, 7, 6, 1, 6]"
94.0,7.625,True,"[0, 7, 6, 2, 5]"
94.5,7.613,True,"[0, 7, 6, 1, 3]"
95.0,7.615,True,"[0, 7, 6, 1, 5]"
95.5,7.615,True,"[0, 7, 6, 1, 5]"
96.0,7.625,True,"[0, 7, 6, 2, 5]"
96.5,7.625,True,"[0, 7, 6, 2, 5]"
97.0,7.626,True,"[0, 7, 6, 2, 6]"
97.5,7.625,True,"[0, 7, 6, 2, 5]"
98.0,7.645,True,"[0, 7, 6, 4, 5]"
98.5,7.625,True,"[0, 7, 6, 2, 5]"
99.0,7.626,True,"[0, 7, 6, 2, 6]"
99.5,7.725,True,"[0, 7, 7, 2, 5]"
100.0,7.625,True,"[0, 7, 6, 2, 5]"
100.5,7.625,True,"[0, 7, 6, 2, 5]"
101.0,7.616,True,"[0, 7, 6, 1, 6]"
101.5,7.626,True,"[0, 7, 6, 2, 6]"
102.0,7.626,True,"[0, 7, 6, 2, 6]"
102.5,7.626,True,"[0, 7, 6, 2, 6]"
103.0,7.623,True,"[0, 7, 6, 2, 3]"
103.5,7.626,True,"[0, 7, 6, 2, 6]"
104.0,7.625,True,"[0, 7, 6, 2, 5]"
104.5,7.613,True,"[0, 7, 6, 1, 3]"
