time_s,current_uA,applied_V,force_V,confident,force_mN
25.9,6120.94,0.8,3.588,True,200.928
26.0,6125.24,0.8,3.588,True,200.928
26.1,6123.33,0.8,3.588,True,200.928
26.2,6124.28,0.8,3.588,True,200.928
26.3,6127.14,0.8,3.588,True,200.928
26.4,6128.1,0.8,3.588,True,200.928
26.5,6129.05,0.8,3.588,True,200.928
26.6,6132.86,0.8,3.588,True,200.928
26.7,6134.3,0.8,3.588,True,200.928
26.8,6130.36,0.8,3.582,True,200.59199999999998
26.9,6127.14,0.8,3.582,True,200.59199999999998
27.0,6127.14,0.8,3.582,True,200.59199999999998
27.1,6126.67,0.8,3.582,True,200.59199999999998
27.2,6125.71,0.8,3.582,True,200.59199999999998
27.3,6128.1,0.8,3.582,True,200.59199999999998
27.4,6129.05,0.8,3.582,True,200.59199999999998
27.5,6134.3,0.8,3.582,True,200.59199999999998
27.6,6127.14,0.8,3.582,True,200.59199999999998
27.7,6137.63,0.8,3.582,True,200.59199999999998
27.8,6138.59,0.8,3.582,True,200.59199999999998
27.9,6135.73,0.8,3.582,True,200.59199999999998
28.0,6138.59,0.8,3.582,True,200.59199999999998
28.1,6142.88,0.8,3.582,True,200.59199999999998
28.2,6140.97,0.8,3.582,True,200.59199999999998
28.3,6143.36,0.8,3.582,True,200.59199999999998
28.4,6144.79,0.8,3.582,True,200.59199999999998
28.5,6144.79,0.8,3.582,True,200.59199999999998
28.6,6144.79,0.8,3.582,True,200.59199999999998
28.7,6142.88,0.8,3.582,True,200.59199999999998
28.8,6142.4,0.8,3.562,True,199.47199999999998
28.9,6142.28,0.8,3.562,True,199.47199999999998
29.0,6141.92,0.8,3.562,True,199.47199999999998
29.1,6141.92,0.8,3.562,True,199.47199999999998
29.2,6143.83,0.8,3.562,True,199.47199999999998
29.3,6142.4,0.8,3.582,True,200.59199999999998
29.4,6146.22,0.8,3.582,True,200.59199999999998
29.5,6144.79,0.8,3.582,True,200.59199999999998
29.6,6149.55,0.8,3.582,True,200.59199999999998
29.7,6146.69,0.8,3.582,True,200.59199999999998
29.8,6143.83,0.8,3.587,True,200.872
29.9,6147.65,0.8,3.587,True,200.872
30.0,6149.55,0.8,3.587,True,200.872
30.1,6154.32,0.8,3.587,True,200.872
30.2,6160.04,0.8,3.587,True,200.872
30.3,6159.57,0.8,3.582,True,200.59199999999998
30.4,6160.52,0.8,3.582,True,200.59199999999998
30.5,6164.81,0.8,3.582,True,200.59199999999998
30.6,6161.48,0.8,3.582,True,200.59199999999998
30.7,6158.14,0.8,3.582,True,200.59199999999998
30.8,6155.28,0.8,3.587,True,200.872
30.9,6157.66,0.8,3.587,True,200.872
31.0,6160.52,0.8,3.587,True,200.872
31.1,6161.95,0.8,3.587,True,200.872
31.2,6161.48,0.8,3.587,True,200.872
31.3,6160.52,0.8,3.587,True,200.872
31.4,6158.14,0.8,3.587,True,200.872
31.5,6158.61,0.8,3.587,True,200.872
31.6,6156.23,0.8,3.587,True,200.872
31.7,6156.23,0.8,3.587,True,200.872
