time_s,force_V
278.5,7.61
279.0,7.612
279.5,7.616
280.0,7.613
280.5,7.616
281.0,7.614
281.5,7.614
282.0,7.614
282.5,7.618
283.0,7.616
283.5,7.62
284.0,7.615
284.5,7.615
285.0,7.616
285.5,7.616
286.0,7.616
286.5,7.619
287.0,7.618
287.5,7.615
288.0,7.617
288.5,7.618
289.0,7.615
289.5,7.616
290.0,7.619
290.5,7.619
291.0,7.619
291.5,7.6175
292.0,7.616
292.5,7.616
293.0,7.615
293.5,7.615
294.0,7.617
294.5,7.618
295.0,7.617
295.5,7.615
296.0,7.617
296.5,7.616
297.0,7.618
297.5,7.615
298.0,7.618
298.5,7.617
299.0,7.618
299.5,7.615
300.0,7.615
300.5,7.618
301.0,7.618
301.5,7.617
302.0,7.617
302.5,7.6175
303.0,7.618
303.5,7.616
304.0,7.617
304.5,7.618
305.0,7.614
305.5,7.617
306.0,7.618
306.5,7.617
307.0,7.62
307.5,7.616
308.0,7.618
308.5,7.616
309.0,7.618
309.5,7.617
310.0,7.619
310.5,7.616
311.0,7.618
311.5,7.617
312.0,7.618
312.5,7.618
313.0,7.614
313.5,7.617
314.0,7.615
314.5,7.614
315.0,7.617
315.5,7.623
316.0,7.616
316.5,7.616
317.0,7.615
317.5,7.617
318.0,7.615
318.5,7.617
319.0,7.614
319.5,7.616
320.0,7.615
320.5,7.615
321.0,7.614
321.5,7.617
322.0,7.618
322.5,7.615
323.0,7.613
323.5,7.614
324.0,7.615
324.5,7.6155
325.0,7.616
325.5,7.613
326.0,7.615
326.5,7.612
327.0,7.613
327.5,7.614
328.0,7.616
328.5,7.618
329.0,7.613
329.5,7.614
330.0,7.616
330.5,7.616
331.0,7.615
331.5,7.615
332.0,7.615
332.5,7.617
333.0,7.615
333.5,7.614
334.0,7.615
334.5,7.617
335.0,7.619
335.5,7.618
336.0,7.615
336.5,7.616
337.0,7.615
337.5,7.615
338.0,7.616
338.5,7.617
339.0,7.617
339.5,7.617
340.0,7.617
340.5,7.617
341.0,7.615
341.5,7.616
342.0,7.616
342.5,7.614
343.0,7.615
343.5,7.615
344.0,7.616
344.5,7.614
345.0,7.618
345.5,7.615
346.0,7.615
346.5,7.618
347.0,7.617
347.5,7.616
348.0,7.616
348.5,7.616
349.0,7.613
349.5,7.617
350.0,7.617
350.5,7.615
351.0,7.614
351.5,7.616
352.0,7.615
352.5,7.617
353.0,7.615
353.5,7.615
354.0,7.614
354.5,7.613
355.0,7.614
355.5,7.616
356.0,7.612
356.5,7.617
357.0,7.612
357.5,7.615
358.0,7.615
358.5,7.616
359.0,7.616
359.5,7.617
360.0,7.617
360.5,7.616
361.0,7.615
361.5,7.614
362.0,7.612
362.5,7.612
363.0,7.614
363.5,7.616
364.0,7.613
364.5,7.61
365.0,7.608
365.5,7.605
366.0,7.606
366.5,7.604
367.0,7.602
367.5,7.598
368.0,7.602
368.5,7.599
369.0,7.596
369.5,7.598
370.0,7.594
370.5,7.595
371.0,7.594
371.5,7.594
372.0,7.593
372.5,7.592
373.0,7.59
373.5,7.589666666666667
374.0,7.589333333333333
374.5,7.589
375.0,7.588
375.5,7.589
376.0,7.585
376.5,7.586
377.0,7.584
377.5,7.586
378.0,7.584
378.5,7.586
379.0,7.586
379.5,7.583
380.0,7.583
380.5,7.584
381.0,7.584
381.5,7.585
382.0,7.5845
382.5,7.584
383.0,7.582
383.5,7.582
384.0,7.582
384.5,7.58
385.0,7.58
385.5,7.582
386.0,7.5794999999999995
386.5,7.577
387.0,7.584
387.5,7.5809999999999995
388.0,7.578
388.5,7.578
389.0,7.58
389.5,7.58
390.0,7.579
390.5,7.582
391.0,7.58
391.5,7.582
392.0,7.5809999999999995
392.5,7.58
393.0,7.58
393.5,7.577
394.0,7.578
394.5,7.579
395.0,7.58
395.5,7.579
396.0,7.579
396.5,7.58
397.0,7.576
397.5,7.576
398.0,7.576
398.5,7.577
399.0,7.577
399.5,7.579
400.0,7.577
400.5,7.58
401.0,7.578
401.5,7.577
402.0,7.579
402.5,7.579
403.0,7.582
403.5,7.576
404.0,7.574
404.5,7.577
405.0,7.578
405.5,7.576
406.0,7.577
406.5,7.577
407.0,7.579
407.5,7.578
408.0,7.578
408.5,7.576
409.0,7.58
409.5,7.574
410.0,7.576
410.5,7.578
411.0,7.578
411.5,7.575
412.0,7.576
412.5,7.576
413.0,7.574999999999999
413.5,7.574
414.0,7.576
414.5,7.578
415.0,7.579
415.5,7.576
416.0,7.575
416.5,7.575
417.0,7.578
417.5,7.575
418.0,7.575
418.5,7.576
419.0,7.577
419.5,7.577
420.0,7.576
420.5,7.575
421.0,7.578
421.5,7.579
422.0,7.576
422.5,7.579
423.0,7.577
423.5,7.577
424.0,7.578
424.5,7.575
425.0,7.575
425.5,7.574
426.0,7.575
426.5,7.577
427.0,7.577
427.5,7.574
428.0,7.575
428.5,7.576
429.0,7.575
429.5,7.576
430.0,7.575
430.5,7.576
431.0,7.575
431.5,7.575
432.0,7.574
432.5,7.576
433.0,7.577
433.5,7.574
434.0,7.576
434.5,7.576
435.0,7.576
435.5,7.577
436.0,7.574
436.5,7.574
437.0,7.573
437.5,7.573
438.0,7.575
438.5,7.574
439.0,7.573
439.5,7.573
440.0,7.512
440.5,7.574
441.0,7.575
441.5,7.575
442.0,7.574
442.5,7.512
443.0,7.574
443.5,7.574
444.0,7.512
444.5,7.542999999999999
445.0,7.574
445.5,7.512
446.0,7.574
446.5,7.575
447.0,7.574
447.5,7.574
448.0,7.573
448.5,7.574
449.0,7.57
449.5,7.512
450.0,7.573
450.5,7.575
451.0,7.573
451.5,7.575
452.0,7.569
452.5,7.569
453.0,7.512
453.5,7.574
454.0,7.57
454.5,7.57
455.0,7.569
455.5,7.569
456.0,7.568
456.5,7.57
457.0,7.541
457.5,7.512
458.0,7.512
458.5,7.573
459.0,7.57
459.5,7.569
460.0,7.568
460.5,7.567
461.0,7.568
461.5,7.569
462.0,7.566
462.5,7.568
463.0,7.569
463.5,7.569
464.0,7.566
464.5,7.566
465.0,7.568
465.5,7.57
466.0,7.566
466.5,7.566
467.0,7.567
467.5,7.566
468.0,7.569
468.5,7.568
469.0,7.567
469.5,7.569
470.0,7.565
470.5,7.565
471.0,7.567
471.5,7.567
472.0,7.566
472.5,7.567
473.0,7.569
473.5,7.566
474.0,7.566
474.5,7.565
475.0,7.566
475.5,7.566
476.0,7.565
476.5,7.564
477.0,7.566
477.5,7.566
478.0,7.564
478.5,7.566
479.0,7.566
479.5,7.564
480.0,7.566
480.5,7.564
481.0,7.565
481.5,7.566
482.0,7.562
482.5,7.564
483.0,7.566
483.5,7.565
484.0,7.565
484.5,7.567
485.0,7.574
485.5,7.574
486.0,7.574
486.5,7.576
487.0,7.579
487.5,7.578
488.0,7.58
488.5,7.582
489.0,7.579
489.5,7.5805
490.0,7.582
490.5,7.58
491.0,7.578
491.5,7.582
492.0,7.58
492.5,7.58
493.0,7.5815
493.5,7.583
494.0,7.584
494.5,7.585
495.0,7.582
495.5,7.583
496.0,7.584
496.5,7.585
497.0,7.58
497.5,7.584
498.0,7.582
498.5,7.58
499.0,7.580666666666667
499.5,7.581333333333333
500.0,7.582
500.5,7.582
501.0,7.583
501.5,7.583
502.0,7.583
502.5,7.585
503.0,7.585
503.5,7.583
504.0,7.584
504.5,7.584
505.0,7.585
505.5,7.586
506.0,7.584
506.5,7.584
507.0,7.583
507.5,7.584
508.0,7.585
508.5,7.58
509.0,7.5815
509.5,7.583
510.0,7.583
510.5,7.5835
511.0,7.584
511.5,7.583
512.0,7.58
512.5,7.58
513.0,7.582
513.5,7.583
514.0,7.583
514.5,7.582
515.0,7.583
515.5,7.584
516.0,7.582
516.5,7.583
517.0,7.585
517.5,7.583
518.0,7.586
518.5,7.584
519.0,7.586
519.5,7.586
520.0,7.586
520.5,7.584
521.0,7.587
521.5,7.586
522.0,7.586
522.5,7.586
523.0,7.586
523.5,7.585
524.0,7.587
524.5,7.586
525.0,7.587
525.5,7.586
526.0,7.586
526.5,7.585
527.0,7.584
527.5,7.586
528.0,7.587
528.5,7.586
529.0,7.584
529.5,7.583
530.0,7.585
530.5,7.585
531.0,7.585
531.5,7.586
532.0,7.585
532.5,7.586
533.0,7.586
533.5,7.587
534.0,7.587
534.5,7.587
535.0,7.588
535.5,7.584
536.0,7.586
536.5,7.586
537.0,7.584
537.5,7.59
538.0,7.588
538.5,7.586
539.0,7.585
539.5,7.585
540.0,7.586
540.5,7.585
541.0,7.586
541.5,7.586
542.0,7.582
542.5,7.588
543.0,7.5875
543.5,7.587
544.0,7.589
544.5,7.588
545.0,7.587
545.5,7.589
546.0,7.586
546.5,7.586
547.0,7.59
547.5,7.587
548.0,7.5875
548.5,7.588
549.0,7.584
549.5,7.585
550.0,7.585
550.5,7.584
551.0,7.585
551.5,7.583
552.0,7.583
552.5,7.586
553.0,7.584
553.5,7.586
554.0,7.583
554.5,7.585
555.0,7.586
555.5,7.584
556.0,7.585
556.5,7.586
557.0,7.588
557.5,7.585
558.0,7.584
558.5,7.588
559.0,7.5885
559.5,7.589
560.0,7.586
560.5,7.585
561.0,7.586
561.5,7.586
562.0,7.583
562.5,7.585
563.0,7.587
563.5,7.587
564.0,7.588
564.5,7.586
565.0,7.584
565.5,7.583
566.0,7.585
566.5,7.582
567.0,7.585
567.5,7.585
568.0,7.586
568.5,7.583
569.0,7.58
569.5,7.583
570.0,7.582
570.5,7.582
571.0,7.583
571.5,7.584
572.0,7.583
572.5,7.584
573.0,7.585
573.5,7.584
574.0,7.583
574.5,7.583
575.0,7.584
575.5,7.583
576.0,7.586
576.5,7.583
577.0,7.582
577.5,7.584
578.0,7.584
578.5,7.583
579.0,7.585
579.5,7.583
580.0,7.583
580.5,7.583
581.0,7.585
581.5,7.583
582.0,7.585
582.5,7.583
583.0,7.584
583.5,7.582
584.0,7.583
584.5,7.584
585.0,7.584
585.5,7.584
586.0,7.583
586.5,7.579
587.0,7.584
587.5,7.587
588.0,7.583
588.5,7.583
589.0,7.583
589.5,7.58
590.0,7.582
590.5,7.5825
591.0,7.583
591.5,7.58
592.0,7.582
592.5,7.585
593.0,7.5835
593.5,7.582
594.0,7.582
594.5,7.584
595.0,7.5835
595.5,7.583
596.0,7.582
596.5,7.582
597.0,7.584
597.5,7.584
598.0,7.584
598.5,7.582
599.0,7.582
599.5,7.582333333333334
600.0,7.582666666666666
600.5,7.583
601.0,7.583
601.5,7.582
602.0,7.583
602.5,7.584
603.0,7.582
603.5,7.584
604.0,7.5815
604.5,7.579
605.0,7.578
605.5,7.575
606.0,7.576
606.5,7.574
607.0,7.573
607.5,7.573
608.0,7.571
608.5,7.569
609.0,7.564
609.5,7.569
610.0,7.566
610.5,7.5655
611.0,7.565
611.5,7.566
612.0,7.562
612.5,7.566
613.0,7.5645
613.5,7.563
614.0,7.5615
614.5,7.56
615.0,7.56
615.5,7.558
616.0,7.555
616.5,7.557
617.0,7.556
617.5,7.556
618.0,7.554
618.5,7.556
619.0,7.554
619.5,7.553
620.0,7.554
620.5,7.555
621.0,7.554
621.5,7.553
622.0,7.555
622.5,7.555
623.0,7.552
623.5,7.552
624.0,7.552
624.5,7.5525
625.0,7.553
625.5,7.553
626.0,7.552666666666666
626.5,7.552333333333333
627.0,7.552
627.5,7.552
628.0,7.548
628.5,7.55
629.0,7.548
629.5,7.548
630.0,7.545
630.5,7.5465
631.0,7.548
631.5,7.548
632.0,7.55
632.5,7.548
633.0,7.547
633.5,7.55
634.0,7.547
634.5,7.549
635.0,7.545
635.5,7.545
636.0,7.549
636.5,7.548
637.0,7.548
637.5,7.546
638.0,7.549
638.5,7.549
639.0,7.548
639.5,7.544
640.0,7.547
640.5,7.545
641.0,7.546
641.5,7.543
642.0,7.545
642.5,7.548
643.0,7.546
643.5,7.548
644.0,7.544
644.5,7.5465
645.0,7.549
645.5,7.546
646.0,7.545
646.5,7.546
647.0,7.547
647.5,7.545
648.0,7.546
648.5,7.545
649.0,7.5455000000000005
649.5,7.546
650.0,7.546
650.5,7.544
651.0,7.546
651.5,7.544
652.0,7.55
652.5,7.543
653.0,7.545
653.5,7.546
654.0,7.545
654.5,7.546
655.0,7.545
655.5,7.547
656.0,7.549
656.5,7.547
657.0,7.544
657.5,7.546
658.0,7.546
658.5,7.547
659.0,7.545
659.5,7.545
660.0,7.546
660.5,7.547
661.0,7.545
661.5,7.546
662.0,7.548
662.5,7.546
663.0,7.546
663.5,7.545
664.0,7.545
664.5,7.545
665.0,7.545
665.5,7.544
666.0,7.545
666.5,7.547
667.0,7.545999999999999
667.5,7.545
668.0,7.546
668.5,7.546
669.0,7.543
669.5,7.548
670.0,7.547
670.5,7.543
671.0,7.547
671.5,7.544
672.0,7.545
672.5,7.544
673.0,7.544
673.5,7.547
674.0,7.544
674.5,7.544
675.0,7.543
675.5,7.547
676.0,7.546
676.5,7.542
677.0,7.542
677.5,7.543
678.0,7.544
678.5,7.545
679.0,7.546
679.5,7.5456666666666665
680.0,7.545333333333334
680.5,7.545
681.0,7.544499999999999
681.5,7.544
682.0,7.544
682.5,7.542
683.0,7.542
683.5,7.542
684.0,7.5409999999999995
684.5,7.54
685.0,7.539
685.5,7.5405
686.0,7.542
686.5,7.5435
687.0,7.545
687.5,7.542
688.0,7.542
688.5,7.542
689.0,7.542
689.5,7.543
690.0,7.543
690.5,7.543
691.0,7.542
691.5,7.5425
692.0,7.543
692.5,7.543
693.0,7.543
693.5,7.545
694.0,7.544666666666666
694.5,7.544333333333333
695.0,7.544
695.5,7.541
696.0,7.538
696.5,7.538
697.0,7.538
697.5,7.539
698.0,7.537
698.5,7.54
699.0,7.538
699.5,7.5375
700.0,7.537
700.5,7.54
701.0,7.54
701.5,7.54
702.0,7.539
702.5,7.538
703.0,7.536
703.5,7.539
704.0,7.539
704.5,7.539
705.0,7.537
705.5,7.539
706.0,7.536
706.5,7.537
707.0,7.537333333333334
707.5,7.5376666666666665
708.0,7.538
708.5,7.536
709.0,7.538
709.5,7.539
710.0,7.537
710.5,7.538
711.0,7.539
711.5,7.537
712.0,7.537
712.5,7.537
713.0,7.539
713.5,7.539
714.0,7.539
714.5,7.539
715.0,7.537
715.5,7.538
716.0,7.537
716.5,7.539
717.0,7.537
717.5,7.538
718.0,7.536
718.5,7.536
719.0,7.537
719.5,7.537
720.0,7.536
720.5,7.537
721.0,7.538
721.5,7.535
722.0,7.534
722.5,7.537
723.0,7.537
723.5,7.536
724.0,7.533
724.5,7.538
725.0,7.537
725.5,7.543
726.0,7.543
726.5,7.546
727.0,7.549
727.5,7.546
728.0,7.548
728.5,7.549
729.0,7.55
729.5,7.5525
730.0,7.555
730.5,7.554
731.0,7.55
731.5,7.549
732.0,7.552
732.5,7.555
733.0,7.555
733.5,7.555
734.0,7.554
734.5,7.553
735.0,7.554
735.5,7.554
736.0,7.554
736.5,7.556
737.0,7.555
737.5,7.552
738.0,7.5555
738.5,7.559
739.0,7.555
739.5,7.556
740.0,7.554
740.5,7.554
741.0,7.555
741.5,7.556
742.0,7.555
742.5,7.555
743.0,7.553
743.5,7.555
744.0,7.556
744.5,7.555
745.0,7.558
745.5,7.559
746.0,7.555
746.5,7.555
747.0,7.556
747.5,7.555
748.0,7.555
748.5,7.557
749.0,7.558
749.5,7.5585
750.0,7.559
750.5,7.558
751.0,7.558
751.5,7.556
752.0,7.558
752.5,7.556
753.0,7.559
753.5,7.557
754.0,7.555
754.5,7.556
755.0,7.558
755.5,7.558
756.0,7.559
756.5,7.558
757.0,7.5585
757.5,7.559
758.0,7.558
758.5,7.557
759.0,7.559
759.5,7.5585
760.0,7.558
760.5,7.558
761.0,7.555
761.5,7.557
762.0,7.559
762.5,7.558
763.0,7.554
763.5,7.557
764.0,7.5585
764.5,7.56
765.0,7.5595
765.5,7.559
766.0,7.558
766.5,7.557
767.0,7.559
767.5,7.555
768.0,7.558
768.5,7.555
769.0,7.557
769.5,7.559
770.0,7.558
770.5,7.559
771.0,7.557
771.5,7.559
772.0,7.559
772.5,7.559
773.0,7.557
773.5,7.56
774.0,7.555
774.5,7.557
775.0,7.556
775.5,7.556
776.0,7.556
776.5,7.558
777.0,7.558
777.5,7.559
778.0,7.556
778.5,7.558
779.0,7.557
