time_s,current_uA,applied_V,force_V,confident,force_mN
20.3,4109.64,0.8,3.187,True,178.47199999999998
20.4,4107.73,0.8,3.187,True,178.47199999999998
20.5,4110.11,0.8,3.187,True,178.47199999999998
20.6,4113.45,0.8,3.187,True,178.47199999999998
20.7,4112.02,0.8,3.187,True,178.47199999999998
20.8,4117.74,0.8,3.187,True,178.47199999999998
20.9,4117.26,0.8,3.187,True,178.47199999999998
21.0,4120.6,0.8,3.187,True,178.47199999999998
21.1,4124.89,0.8,3.187,True,178.47199999999998
21.2,4119.65,0.8,3.187,True,178.47199999999998
21.3,4123.94,0.8,3.187,True,178.47199999999998
21.4,4129.66,0.8,3.187,True,178.47199999999998
21.5,4123.94,0.8,3.187,True,178.47199999999998
21.6,4129.66,0.8,3.187,True,178.47199999999998
21.7,4133.95,0.8,3.187,True,178.47199999999998
21.8,4130.62,0.8,3.177,True,177.912
21.9,4133.95,0.8,3.177,True,177.912
22.0,4138.25,0.8,3.177,True,177.912
22.1,4138.72,0.8,3.177,True,177.912
22.2,4139.56,0.8,3.177,True,177.912
22.3,4140.15,0.8,3.177,True,177.912
22.4,4141.11,0.8,3.177,True,177.912
22.5,4143.01,0.8,3.177,True,177.912
22.6,4144.92,0.8,3.177,True,177.912
22.7,4145.88,0.8,3.177,True,177.912
22.8,4151.12,0.8,3.187,True,178.47199999999998
22.9,4151.12,0.8,3.187,True,178.47199999999998
23.0,4151.95,0.8,3.187,True,178.47199999999998
23.1,4153.03,0.8,3.187,True,178.47199999999998
23.2,4152.55,0.8,3.187,True,178.47199999999998
23.3,4155.41,0.8,3.187,True,178.47199999999998
23.4,4156.84,0.8,3.187,True,178.47199999999998
23.5,4157.32,0.8,3.187,True,178.47199999999998
23.6,4159.46,0.8,3.187,True,178.47199999999998
23.7,4163.04,0.8,3.187,True,178.47199999999998
23.8,4160.66,0.8,3.177,True,177.912
23.9,4168.76,0.8,3.177,True,177.912
24.0,4166.38,0.8,3.177,True,177.912
24.1,4167.33,0.8,3.177,True,177.912
24.2,4169.72,0.8,3.177,True,177.912
24.3,4169.96,0.8,3.177,True,177.912
24.4,4171.62,0.8,3.177,True,177.912
24.5,4171.15,0.8,3.177,True,177.912
24.6,4174.49,0.8,3.177,True,177.912
24.7,4179.73,0.8,3.177,True,177.912
24.8,4178.3,0.8,3.177,True,177.912
24.9,4177.82,0.8,3.177,True,177.912
25.0,4181.64,0.8,3.177,True,177.912
