time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
483.6,3840.58,0.8,9.817,1.9634,111.81563000000001,0.13690312825221918
483.7,3842.68,0.8,9.817,1.9634,111.81563000000001,0.13690312825221918
483.8,3842.92,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
483.9,3842.58,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.0,3841.82,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.1,3842.39,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.2,3842.11,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.3,3841.96,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.4,3842.49,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.5,3842.36,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.6,3842.63,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.7,3842.34,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.8,3846.64,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
484.9,3845.11,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
485.0,3847.83,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
485.1,3848.21,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
485.2,3846.83,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
485.3,3847.94,0.8,9.817,1.9634,111.81563000000001,0.13690312825221918
485.4,3848.3,0.8,9.817,1.9634,111.81563000000001,0.13690312825221918
485.5,3848.4,0.8,9.817,1.9634,111.81563000000001,0.13690312825221918
485.6,3847.59,0.8,9.817,1.9634,111.81563000000001,0.13690312825221918
485.7,3846.49,0.8,9.817,1.9634,111.81563000000001,0.13690312825221918
485.8,3845.11,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
485.9,3846.59,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
486.0,3846.73,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
486.1,3848.69,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
486.2,3846.83,0.8,9.819,1.9634,111.81563000000001,0.13690312825221918
486.3,3848.5,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
486.4,3852.12,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
486.5,3851.5,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
486.6,3853.79,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
486.7,3853.55,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
486.8,3852.6,0.8,9.823,1.9634,111.81563000000001,0.13690312825221918
486.9,3851.83,0.8,9.823,1.9634,111.81563000000001,0.13690312825221918
487.0,3851.21,0.8,9.823,1.9634,111.81563000000001,0.13690312825221918
487.1,3851.17,0.8,9.823,1.9634,111.81563000000001,0.13690312825221918
487.2,3851.64,0.8,9.823,1.9634,111.81563000000001,0.13690312825221918
487.3,3851.45,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
487.4,3853.6,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
487.5,3855.31,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
487.6,3854.12,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
487.7,3852.98,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
487.8,3851.55,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
487.9,3852.93,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
488.0,3852.69,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
488.1,3853.31,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
488.2,3853.2,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
488.3,3853.6,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
488.4,3853.22,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
488.5,3853.5,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
488.6,3853.45,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
488.7,3853.36,0.8,9.813,1.9638000000000002,111.83841000000002,0.1369310192837466
488.8,3853.74,0.8,9.821,1.9638000000000002,111.83841000000002,0.1369310192837466
488.9,3856.51,0.8,9.821,1.9638000000000002,111.83841000000002,0.1369310192837466
489.0,3855.55,0.8,9.821,1.9638000000000002,111.83841000000002,0.1369310192837466
489.1,3856.79,0.8,9.821,1.9638000000000002,111.83841000000002,0.1369310192837466
489.2,3855.89,0.8,9.821,1.9638000000000002,111.83841000000002,0.1369310192837466
489.3,3858.32,0.8,9.819,1.9638000000000002,111.83841000000002,0.1369310192837466
489.4,3856.55,0.8,9.819,1.9638000000000002,111.83841000000002,0.1369310192837466
489.5,3856.94,0.8,9.819,1.9638000000000002,111.83841000000002,0.1369310192837466
489.6,3858.03,0.8,9.819,1.9638000000000002,111.83841000000002,0.1369310192837466
489.7,3859.03,0.8,9.819,1.9638000000000002,111.83841000000002,0.1369310192837466
489.8,3860.75,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
489.9,3859.22,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
490.0,3860.23,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
490.1,3859.32,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
490.2,3860.37,0.8,9.813,1.9634,111.81563000000001,0.13690312825221918
490.3,3859.08,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
490.4,3858.99,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
490.5,3859.13,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
490.6,3860.56,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
490.7,3860.65,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
490.8,3860.75,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
490.9,3862.28,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
491.0,3862.85,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
491.1,3863.61,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
491.2,3863.95,0.8,9.813,1.9626000000000001,111.77007000000002,0.13684734618916441
491.3,3864.09,0.8,9.82,1.9626000000000001,111.77007000000002,0.13684734618916441
491.4,3863.33,0.8,9.82,1.9626000000000001,111.77007000000002,0.13684734618916441
491.5,3862.28,0.8,9.82,1.9626000000000001,111.77007000000002,0.13684734618916441
491.6,3862.71,0.8,9.82,1.9626000000000001,111.77007000000002,0.13684734618916441
491.7,3866.0,0.8,9.82,1.9626000000000001,111.77007000000002,0.13684734618916441
491.8,3866.14,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
491.9,3865.58,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
492.0,3865.42,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
492.1,3864.76,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
492.2,3868.28,0.8,9.822,1.9638000000000002,111.83841000000002,0.1369310192837466
