group,video,max_deflection_mm,peak_to_peak_mm,px_per_mm,px_per_square,grid_confidence,median_score,nframes,mode,sqrt_area_mm,caliper_length_mm,proximal_length_mm,area_mm2,size_mode,size_ok,norm_defl,norm_p2p
70%_EtOH_1day_core_removed,70%_EtOH_1days_1_forearm_core_taken_out_2.MOV,5.419837781961564,6.076063974457061,49.0,49.0,100.0,0.9955723881721497,574,ncc,14.1359938584339,31.33931135945393,11.634765293374137,199.82632236568097,manual,True,0.46583129485629576,0.5222334805427754
70%_EtOH_1day_core_removed,70%_EtOH_1days_2_forearm_core_taken_out.MOV,4.913555280929537,4.891796601477309,49.0,49.0,3.513002643649456,0.9236114621162415,441,,13.913324240462506,33.392756972768794,13.507198013186535,193.58059142024157,auto,True,0.36377309906411603,0.3621622039376075
70%_EtOH_1day_core_removed,70%_EtOH_1days_2_forearm_core_taken_out_2.MOV,4.252091995793529,4.30116530281228,49.0,49.0,3.1893772013503208,0.9440940916538239,168,,13.593062394942612,33.17604149502268,13.701296691508363,184.771345272803,auto,True,0.31034230493153564,0.31392395914453913
70%_EtOH_4day,70%_EtOH_4days_1.MOV,1.8826947545297597,1.98765817067842,49.0,49.0,3.8947685286618756,0.9368111491203308,650,,12.622246876114517,26.62258782357549,15.113646946771434,159.32111620158267,auto,True,0.12456918976342368,0.1315141327357142
fresh,fresh_chicken_bicep_1.MOV,6.53165978935624,6.686147243804905,47.0,47.0,2.8760530508259845,0.9311984181404114,439,,12.535310019454599,29.00462022795123,12.02127659574468,157.13399728383885,auto,True,0.5433416107960058,0.5561927795731514
fresh,fresh_chicken_bicep_2.MOV,7.121302688025566,7.417348847238733,46.0,46.0,100.0,0.9977540969848633,685,ncc,12.72699377348779,29.719744825859085,11.295816178479368,161.97637051039698,auto,True,0.630437196879405,0.6566456757122308
fresh,fresh_chicken_bicep_3.MOV,6.6585445963332,7.854164947023762,45.0,45.0,6.187047061980811,0.9839854836463928,300,,13.179707559654906,30.84662976568485,11.44097034648442,173.7046913580247,auto,True,0.5819912467808499,0.6864946511671703
fresh,fresh_chicken_bicep_4.MOV,5.553707173335706,5.753389834767593,45.0,45.0,6.687028242144173,0.9577180445194244,620,,13.213180848991213,30.988783315225923,11.637763138343962,174.58814814814815,auto,True,0.4772143157852576,0.49437248089466557
fresh_double_actuator,fresh_chicken_double_actuator.MOV,4.498588560377841,7.106783124648651,46.0,46.0,4.011660713508499,0.9480886161327362,1098,,9.11362323910877,26.910567421394123,8.206025035357092,83.05812854442344,auto,True,0.5482055612790464,0.8660445336235064
fresh_double_actuator,fresh_chicken_double_actuator_2.MOV,5.0329214090224665,5.076290038758125,48.0,48.0,100.0,0.997344434261322,327,ncc,8.553523275040916,26.07964730344761,7.795926865642368,73.16276041666667,auto,True,0.6455834560484637,0.651146441756653
