condition,trial_file,slip,cycle,energy_mJ
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,82,0.48676499999999123
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,83,0.48499499999999784
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,84,0.4842649999999935
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,85,0.4823550000000125
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,86,0.4795349999999985
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,87,0.4773449999999855
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,88,0.475545000000011
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,89,0.47943499999999517
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,90,0.4789250000000038
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,91,0.46947500000001696
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,92,0.4728449999999498
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,93,0.4690299999999752
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,94,0.4697349999999858
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,95,0.46839000000002784
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,96,0.4671599999999785
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,97,0.47657999999998424
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,98,0.46900499999998146
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,1,0.5052050000000037
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,2,0.45083999999999946
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,3,0.43354999999999677
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,4,0.41934499999999275
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,5,0.400100000000009
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,6,0.3983699999999857
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,7,0.39406999999999925
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,8,0.3881099999999975
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,9,0.3754899999999992
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,10,0.3782149999999973
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,11,0.37456000000000245
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,12,0.3751850000000161
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,13,0.3690600000000046
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,14,0.3634050000000002
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,15,0.3653549999999939
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,16,0.3617050000000006
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,17,0.35671000000000674
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,18,0.3502900000000011
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,19,0.35571500000000356
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,20,0.35368999999997186
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,21,0.3514650000000046
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,22,0.3437499999999858
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,23,0.3419499999999971
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,24,0.3441800000000086
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,25,0.3466200000000015
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,26,0.34406000000001313
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,27,0.33944999999999936
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,28,0.3471750000000071
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,29,0.34012500000000045
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,30,0.33806999999998766
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,31,0.34002500000001135
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,32,0.34508500000001163
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,33,0.3406150000000139
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,34,0.33287500000000136
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,35,0.33525500000001784
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,36,0.32939000000001784
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,37,0.33656000000000574
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,38,0.3390899999999988
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,39,0.33174499999998375
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,40,0.33015499999999065
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,41,0.32729000000000497
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,42,0.3293849999999878
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,43,0.3333899999999943
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,44,0.32245499999999083
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,45,0.3304900000000117
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,46,0.3225999999999942
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,47,0.33490000000000464
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,48,0.3269599999999997
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,49,0.3321849999999955
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,50,0.3313700000000068
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,51,0.32853000000001487
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,52,0.32531499999998914
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,53,0.3310199999999952
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,54,0.31595000000001505
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,55,0.3133200000000045
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,56,0.31199000000000865
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,57,0.3174800000000033
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,58,0.3174049999999937
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,59,0.32517500000000155
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,60,0.30951500000000465
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,61,0.3151500000000027
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,62,0.31947499999999707
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,63,0.3068150000000003
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,64,0.32567000000000235
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,65,0.31153500000002055
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,66,0.31633999999999673
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,67,0.31471500000000674
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,68,0.3119749999999897
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,69,0.3140799999999899
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,70,0.31930499999999995
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,71,0.3129299999999944
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,72,0.31710499999999797
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,73,0.3185450000000003
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,74,0.3169950000000057
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,75,0.3157899999999927
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,76,0.31785500000000866
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,77,0.31742500000000007
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,78,0.31566000000000827
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,79,0.31446000000001106
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,80,0.3117200000000082
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,81,0.3094350000000077
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,82,0.3064799999999792
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,83,0.3085999999999842
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,84,0.3110150000000118
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,85,0.30722000000000094
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,86,0.3035250000000218
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,87,0.3072249999999883
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,88,0.29961500000000285
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,89,0.29448499999999456
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,90,0.3005100000000027
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,91,0.2951050000000066
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,92,0.3063950000000091
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,93,0.30072000000001253
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,94,0.30194500000000346
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,95,0.29934000000001504
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,96,0.29795500000000175
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,97,0.29586500000000626
10% formalin / no glycerin,10%formalin-noglyc-9x4.16-6.89x2_20260304_154654.is_tcyclic.csv,,98,0.30165999999999826
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,1,1.0069750000000397
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,2,0.8561349999999948
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,3,0.7770149999999774
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,4,0.7409900000000107
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,5,0.717394999999982
10% formalin / glycerin,10%formalin-withglyc_11.55x6.26-12.20x3.25_20260304_160238.is_tcyclic.csv,,6,0.7000799999999856
