frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
145,5.8,1816.758,529.741,0.9871,0.8154,-0.7504,-0.3190
146,5.84,1825.415,536.330,0.9924,0.5861,-0.5598,-0.1738
147,5.88,1832.062,541.370,0.9952,0.4181,-0.4133,-0.0628
148,5.92,1840.574,547.274,0.9925,0.2356,-0.2258,0.0672
149,5.96,1849.098,554.863,0.9944,0.2374,-0.0381,0.2344
150,6.0,1855.147,559.831,0.9959,0.3567,0.0952,0.3438
151,6.04,1857.469,561.930,0.9942,0.4166,0.1463,0.3900
152,6.08,1859.572,563.582,0.9941,0.4679,0.1926,0.4264
153,6.12,1862.635,566.693,0.9934,0.5591,0.2601,0.4950
154,6.16,1865.424,569.427,0.9917,0.6416,0.3215,0.5552
155,6.2,1866.646,570.483,0.9914,0.6753,0.3485,0.5784
156,6.24,1867.411,570.817,0.9909,0.6904,0.3653,0.5858
157,6.28,1867.474,570.722,0.9911,0.6893,0.3667,0.5837
158,6.32,1868.375,570.934,0.9910,0.7040,0.3865,0.5884
159,6.36,1868.794,571.456,0.9914,0.7187,0.3958,0.5999
160,6.4,1868.887,571.622,0.9918,0.7228,0.3978,0.6035
161,6.44,1869.137,571.577,0.9917,0.7251,0.4033,0.6025
162,6.48,1869.575,571.753,0.9904,0.7337,0.4130,0.6064
163,6.52,1869.709,572.231,0.9912,0.7440,0.4159,0.6169
164,6.56,1869.652,572.048,0.9907,0.7400,0.4147,0.6129
165,6.6,1869.702,572.194,0.9912,0.7433,0.4158,0.6161
166,6.64,1870.191,572.705,0.9915,0.7586,0.4265,0.6274
167,6.68,1870.630,572.774,0.9907,0.7654,0.4362,0.6289
168,6.72,1870.683,572.811,0.9908,0.7667,0.4374,0.6297
169,6.76,1870.335,572.732,0.9915,0.7609,0.4297,0.6280
170,6.8,1869.849,571.615,0.9916,0.7346,0.4190,0.6034
171,6.84,1868.361,570.422,0.9913,0.6944,0.3862,0.5771
172,6.88,1866.869,568.974,0.9912,0.6497,0.3534,0.5452
173,6.92,1864.419,567.636,0.9923,0.5963,0.2994,0.5157
174,6.96,1860.347,563.496,0.9935,0.4735,0.2097,0.4245
175,7.0,1853.830,557.812,0.9937,0.3065,0.0661,0.2993
176,7.04,1845.675,551.009,0.9927,0.1877,-0.1135,0.1495
177,7.08,1836.900,544.393,0.9938,0.3068,-0.3068,0.0038
178,7.12,1826.618,537.247,0.9875,0.5549,-0.5332,-0.1536
179,7.16,1813.902,527.631,0.9831,0.8917,-0.8134,-0.3655
180,7.2,1804.492,515.686,0.9891,1.1987,-1.0206,-0.6286
181,7.24,1794.510,504.022,0.9865,1.5241,-1.2405,-0.8855
182,7.28,1786.420,494.868,0.9943,1.7873,-1.4187,-1.0871
183,7.32,1780.166,489.848,0.9946,1.9639,-1.5564,-1.1977
184,7.36,1775.495,485.196,0.9918,2.1081,-1.6593,-1.3002
185,7.4,1772.601,481.049,0.9913,2.2148,-1.7231,-1.3915
186,7.44,1772.186,481.834,0.9917,2.2112,-1.7322,-1.3742
187,7.48,1772.770,483.102,0.9918,2.1837,-1.7194,-1.3463
188,7.52,1772.567,482.098,0.9910,2.2009,-1.7238,-1.3684
189,7.56,1771.710,481.310,0.9910,2.2265,-1.7427,-1.3858
190,7.6,1771.541,481.735,0.9904,2.2236,-1.7464,-1.3764
191,7.64,1772.250,482.157,0.9915,2.2056,-1.7308,-1.3671
192,7.68,1772.957,482.675,0.9924,2.1863,-1.7153,-1.3557
193,7.72,1773.278,483.114,0.9915,2.1748,-1.7082,-1.3461
194,7.76,1772.873,482.828,0.9918,2.1857,-1.7171,-1.3523
195,7.8,1772.668,482.473,0.9920,2.1941,-1.7216,-1.3602
196,7.84,1773.446,482.905,0.9921,2.1747,-1.7045,-1.3506
197,7.88,1773.373,483.639,0.9926,2.1660,-1.7061,-1.3345
198,7.92,1773.039,483.305,0.9932,2.1763,-1.7134,-1.3418
199,7.96,1772.784,483.056,0.9919,2.1841,-1.7191,-1.3473
200,8.0,1773.434,483.900,0.9922,2.1614,-1.7047,-1.3287
201,8.04,1773.560,484.369,0.9924,2.1529,-1.7020,-1.3184
202,8.08,1773.952,484.651,0.9938,2.1422,-1.6933,-1.3122
203,8.12,1774.233,485.066,0.9929,2.1318,-1.6871,-1.3031
204,8.16,1774.134,485.464,0.9942,2.1281,-1.6893,-1.2943
205,8.2,1774.298,485.673,0.9938,2.1225,-1.6857,-1.2897
206,8.24,1774.558,485.564,0.9932,2.1194,-1.6800,-1.2921
207,8.28,1775.074,485.999,0.9933,2.1045,-1.6686,-1.2825
208,8.32,1775.400,486.891,0.9935,2.0869,-1.6614,-1.2628
209,8.36,1776.268,487.805,0.9946,2.0595,-1.6423,-1.2427
210,8.4,1777.148,489.013,0.9942,2.0280,-1.6229,-1.2161
211,8.44,1779.336,491.536,0.9960,1.9562,-1.5747,-1.1605
212,8.48,1782.446,494.952,0.9958,1.8565,-1.5062,-1.0853
213,8.52,1786.874,500.079,0.9943,1.7117,-1.4087,-0.9723
214,8.56,1793.022,507.049,0.9937,1.5138,-1.2733,-0.8188
215,8.6,1799.481,514.227,0.9939,1.3099,-1.1310,-0.6607
216,8.64,1806.694,522.083,0.9913,1.0876,-0.9721,-0.4877
217,8.68,1816.254,532.350,0.9871,0.8052,-0.7615,-0.2615
218,8.72,1825.973,540.276,0.9934,0.5543,-0.5475,-0.0869
219,8.76,1833.404,545.482,0.9964,0.3848,-0.3838,0.0278
220,8.8,1838.892,549.605,0.9962,0.2884,-0.2629,0.1186
221,8.84,1844.087,554.018,0.9948,0.2619,-0.1485,0.2158
222,8.88,1850.225,558.487,0.9960,0.3145,-0.0133,0.3142
223,8.92,1855.393,562.871,0.9944,0.4229,0.1006,0.4108
224,8.96,1858.798,566.462,0.9942,0.5204,0.1756,0.4899
225,9.0,1860.919,568.167,0.9933,0.5724,0.2223,0.5274
226,9.04,1862.506,568.635,0.9915,0.5961,0.2573,0.5377
227,9.08,1863.829,570.302,0.9923,0.6419,0.2864,0.5745
228,9.12,1866.094,572.793,0.9912,0.7135,0.3363,0.6293
229,9.16,1868.353,574.596,0.9902,0.7724,0.3860,0.6690
230,9.2,1869.828,575.252,0.9901,0.8015,0.4185,0.6835
231,9.24,1870.714,576.213,0.9902,0.8297,0.4381,0.7046
232,9.28,1872.045,577.871,0.9902,0.8762,0.4674,0.7412
233,9.32,1873.158,578.825,0.9900,0.9071,0.4919,0.7622
234,9.36,1873.213,579.042,0.9889,0.9118,0.4931,0.7670
235,9.4,1873.073,579.191,0.9895,0.9129,0.4900,0.7702
236,9.44,1873.394,579.643,0.9894,0.9251,0.4971,0.7802
237,9.48,1873.868,579.671,0.9898,0.9313,0.5075,0.7808
238,9.52,1873.831,580.033,0.9896,0.9375,0.5067,0.7888
239,9.56,1873.712,579.688,0.9895,0.9297,0.5041,0.7812
240,9.6,1874.014,579.759,0.9904,0.9346,0.5107,0.7828
241,9.64,1874.401,580.450,0.9899,0.9521,0.5193,0.7980
242,9.68,1874.516,580.399,0.9889,0.9525,0.5218,0.7969
243,9.72,1874.275,580.522,0.9899,0.9519,0.5165,0.7996
244,9.76,1874.634,580.332,0.9898,0.9527,0.5244,0.7954
245,9.8,1874.744,580.369,0.9902,0.9547,0.5268,0.7962
246,9.84,1874.192,580.112,0.9889,0.9433,0.5147,0.7905
247,9.88,1873.506,578.460,0.9890,0.9046,0.4996,0.7542
248,9.92,1872.664,576.664,0.9900,0.8614,0.4810,0.7146
249,9.96,1871.609,575.522,0.9902,0.8276,0.4578,0.6894
250,10.0,1869.816,574.721,0.9901,0.7914,0.4183,0.6718
251,10.04,1866.133,571.371,0.9906,0.6865,0.3371,0.5980
252,10.08,1860.640,566.231,0.9918,0.5308,0.2162,0.4848
253,10.12,1853.374,560.276,0.9927,0.3580,0.0561,0.3536
254,10.16,1845.500,553.667,0.9922,0.2388,-0.1173,0.2080
255,10.2,1834.932,546.465,0.9902,0.3536,-0.3501,0.0494
256,10.24,1822.171,536.286,0.9825,0.6550,-0.6312,-0.1748
257,10.28,1810.126,524.169,0.9901,0.9994,-0.8965,-0.4417
258,10.32,1802.974,514.368,0.9940,1.2424,-1.0541,-0.6576
259,10.36,1797.368,508.338,0.9955,1.4182,-1.1775,-0.7904
260,10.4,1793.004,504.052,0.9947,1.5509,-1.2737,-0.8848
261,10.44,1787.758,499.059,0.9949,1.7087,-1.3892,-0.9948
262,10.48,1782.718,493.199,0.9960,1.8745,-1.5002,-1.1239
263,10.52,1778.532,488.803,0.9938,2.0065,-1.5925,-1.2207
264,10.56,1776.441,487.440,0.9940,2.0613,-1.6385,-1.2508
265,10.6,1776.780,488.223,0.9952,2.0450,-1.6310,-1.2335
266,10.64,1777.763,488.568,0.9954,2.0231,-1.6094,-1.2259
267,10.68,1776.967,488.118,0.9947,2.0431,-1.6269,-1.2358
268,10.72,1776.015,487.512,0.9950,2.0678,-1.6479,-1.2492
269,10.76,1776.037,487.425,0.9952,2.0686,-1.6474,-1.2511
270,10.8,1776.588,487.667,0.9940,2.0557,-1.6353,-1.2457
271,10.84,1776.376,487.961,0.9934,2.0555,-1.6399,-1.2393
272,10.88,1776.019,487.618,0.9951,2.0664,-1.6478,-1.2468
273,10.92,1776.048,487.751,0.9945,2.0641,-1.6472,-1.2439
274,10.96,1776.345,488.233,0.9942,2.0525,-1.6406,-1.2333
275,11.0,1776.466,488.464,0.9943,2.0473,-1.6380,-1.2282
276,11.04,1776.198,488.456,0.9950,2.0521,-1.6439,-1.2284
277,11.08,1776.851,488.865,0.9950,2.0352,-1.6295,-1.2194
278,11.12,1777.083,489.327,0.9955,2.0250,-1.6244,-1.2092
279,11.16,1776.756,489.264,0.9954,2.0316,-1.6316,-1.2106
280,11.2,1776.957,489.280,0.9958,2.0279,-1.6271,-1.2102
281,11.24,1777.173,489.553,0.9957,2.0204,-1.6224,-1.2042
282,11.28,1777.288,489.956,0.9952,2.0132,-1.6199,-1.1953
283,11.32,1777.204,490.061,0.9949,2.0133,-1.6217,-1.1930
284,11.36,1777.426,490.499,0.9954,2.0036,-1.6168,-1.1834
285,11.4,1778.380,491.244,0.9956,1.9769,-1.5958,-1.1670
286,11.44,1778.596,491.799,0.9954,1.9659,-1.5910,-1.1547
287,11.48,1779.471,493.199,0.9953,1.9323,-1.5718,-1.1239
