frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
179,7.16,1577.043,370.237,0.9373,8.2186,-8.2186,-0.0004
180,7.2,1576.894,370.211,0.9386,8.2279,-8.2279,-0.0020
181,7.24,1576.656,370.195,0.9391,8.2428,-8.2428,-0.0030
182,7.28,1576.634,370.190,0.9392,8.2442,-8.2442,-0.0033
183,7.32,1576.687,370.259,0.9386,8.2408,-8.2408,0.0010
184,7.36,1576.596,370.131,0.9398,8.2465,-8.2465,-0.0070
185,7.4,1575.995,370.174,0.9379,8.2841,-8.2841,-0.0043
186,7.44,1575.569,370.201,0.9393,8.3107,-8.3107,-0.0026
187,7.48,1575.523,370.363,0.9380,8.3136,-8.3136,0.0075
188,7.52,1575.553,370.166,0.9392,8.3117,-8.3117,-0.0048
189,7.56,1575.209,370.360,0.9371,8.3332,-8.3332,0.0073
190,7.6,1575.178,370.142,0.9372,8.3351,-8.3351,-0.0064
191,7.64,1575.140,370.208,0.9369,8.3375,-8.3375,-0.0022
192,7.68,1575.027,370.743,0.9364,8.3446,-8.3446,0.0312
193,7.72,1575.524,369.958,0.9385,8.3135,-8.3135,-0.0178
194,7.76,1574.951,370.762,0.9365,8.3494,-8.3493,0.0324
195,7.8,1575.394,370.259,0.9383,8.3216,-8.3216,0.0009
196,7.84,1575.411,370.464,0.9372,8.3206,-8.3206,0.0138
197,7.88,1575.365,370.777,0.9384,8.3235,-8.3234,0.0333
198,7.92,1575.674,370.444,0.9371,8.3042,-8.3042,0.0125
199,7.96,1575.318,370.635,0.9375,8.3265,-8.3264,0.0245
200,8.0,1575.443,370.532,0.9362,8.3186,-8.3186,0.0181
201,8.04,1575.347,370.614,0.9374,8.3246,-8.3246,0.0231
202,8.08,1575.272,370.577,0.9370,8.3293,-8.3293,0.0209
203,8.12,1575.167,370.563,0.9359,8.3359,-8.3359,0.0200
204,8.16,1574.895,370.757,0.9367,8.3529,-8.3528,0.0321
205,8.2,1574.910,370.674,0.9362,8.3520,-8.3519,0.0269
206,8.24,1574.728,370.568,0.9363,8.3633,-8.3633,0.0203
207,8.28,1574.603,370.737,0.9386,8.3712,-8.3711,0.0309
208,8.32,1574.731,370.692,0.9382,8.3631,-8.3631,0.0281
209,8.36,1574.876,370.526,0.9348,8.3540,-8.3540,0.0177
210,8.4,1574.672,370.800,0.9380,8.3668,-8.3668,0.0348
211,8.44,1574.632,370.810,0.9384,8.3693,-8.3693,0.0354
212,8.48,1574.583,370.449,0.9365,8.3723,-8.3723,0.0128
213,8.52,1574.139,370.674,0.9366,8.4001,-8.4001,0.0269
214,8.56,1574.215,370.556,0.9353,8.3954,-8.3953,0.0195
215,8.6,1574.372,370.467,0.9358,8.3856,-8.3855,0.0140
216,8.64,1574.083,370.702,0.9363,8.4036,-8.4036,0.0286
217,8.68,1573.961,370.805,0.9360,8.4113,-8.4112,0.0351
218,8.72,1573.739,371.011,0.9378,8.4252,-8.4251,0.0480
219,8.76,1573.892,370.854,0.9366,8.4156,-8.4155,0.0382
220,8.8,1573.861,370.642,0.9362,8.4175,-8.4175,0.0249
221,8.84,1573.463,371.008,0.9376,8.4425,-8.4423,0.0478
222,8.88,1573.481,370.745,0.9370,8.4413,-8.4412,0.0313
223,8.92,1573.409,370.981,0.9377,8.4458,-8.4457,0.0461
224,8.96,1573.708,372.921,0.9364,8.4287,-8.4270,0.1674
225,9.0,1575.561,373.801,0.9377,8.3142,-8.3112,0.2223
226,9.04,1575.827,373.688,0.9356,8.2974,-8.2946,0.2153
227,9.08,1574.658,375.738,0.9370,8.3747,-8.3676,0.3434
228,9.12,1569.932,379.684,0.9336,8.6831,-8.6630,0.5901
229,9.16,1559.128,382.441,0.9301,9.3693,-9.3383,0.7624
230,9.2,1545.558,385.757,0.9264,10.2325,-10.1864,0.9696
231,9.24,1536.850,387.268,0.9224,10.7832,-10.7306,1.0641
232,9.28,1531.763,386.734,0.9245,11.0965,-11.0486,1.0306
233,9.32,1527.002,381.009,0.9264,11.3661,-11.3461,0.6728
234,9.36,1521.474,371.715,0.9267,11.6920,-11.6917,0.0920
235,9.4,1517.147,365.500,0.9175,11.9658,-11.9621,-0.2965
236,9.44,1514.562,362.627,0.9140,12.1330,-12.1237,-0.4760
237,9.48,1512.870,359.922,0.9161,12.2464,-12.2294,-0.6451
238,9.52,1509.093,355.052,0.9200,12.5016,-12.4655,-0.9494
239,9.56,1508.186,349.243,0.9191,12.5908,-12.5222,-1.3126
240,9.6,1511.081,351.304,0.9199,12.3978,-12.3412,-1.1837
241,9.64,1516.348,358.923,0.9208,12.0328,-12.0120,-0.7075
242,9.68,1518.204,360.469,0.9155,11.9117,-11.8960,-0.6109
243,9.72,1515.847,354.742,0.9214,12.0823,-12.0434,-0.9688
244,9.76,1513.033,351.042,0.9202,12.2780,-12.2192,-1.2001
245,9.8,1510.343,351.316,0.9184,12.4437,-12.3874,-1.1830
246,9.84,1506.993,350.038,0.9203,12.6599,-12.5967,-1.2629
247,9.88,1503.624,348.171,0.9207,12.8813,-12.8073,-1.3795
248,9.92,1502.065,348.340,0.9140,12.9771,-12.9047,-1.3690
249,9.96,1501.842,348.787,0.9162,12.9881,-12.9187,-1.3410
250,10.0,1500.386,348.529,0.9115,13.0803,-13.0097,-1.3572
251,10.04,1498.795,348.403,0.9106,13.1799,-13.1091,-1.3650
252,10.08,1497.999,348.496,0.9070,13.2289,-13.1589,-1.3592
253,10.12,1497.349,348.964,0.9111,13.2663,-13.1995,-1.3300
254,10.16,1496.843,348.909,0.9098,13.2981,-13.2311,-1.3334
255,10.2,1496.038,348.899,0.9097,13.3482,-13.2814,-1.3340
256,10.24,1495.370,349.284,0.9089,13.3874,-13.3231,-1.3099
257,10.28,1494.842,349.239,0.9092,13.4205,-13.3562,-1.3128
258,10.32,1494.332,349.802,0.9100,13.4488,-13.3880,-1.2776
259,10.36,1494.354,350.273,0.9084,13.4447,-13.3866,-1.2481
260,10.4,1494.385,351.358,0.9084,13.4366,-13.3847,-1.1803
261,10.44,1494.483,354.756,0.9087,13.4135,-13.3786,-0.9680
262,10.48,1494.390,359.239,0.9028,13.4020,-13.3844,-0.6878
263,10.52,1494.393,363.662,0.9052,13.3905,-13.3842,-0.4113
264,10.56,1495.076,370.238,0.9089,13.3415,-13.3415,-0.0003
265,10.6,1496.066,379.663,0.9062,13.2927,-13.2797,0.5887
266,10.64,1498.059,389.338,0.9049,13.2091,-13.1551,1.1934
267,10.68,1500.630,394.245,0.9043,13.0807,-12.9944,1.5001
268,10.72,1504.257,389.983,0.9094,12.8272,-12.7677,1.2337
269,10.76,1509.544,387.416,0.9077,12.4835,-12.4373,1.0733
270,10.8,1517.075,386.344,0.9098,12.0088,-11.9666,1.0063
271,10.84,1522.764,384.073,0.9158,11.6431,-11.6110,0.8644
272,10.88,1521.635,382.030,0.9167,11.7048,-11.6816,0.7367
273,10.92,1515.538,381.901,0.9125,12.0846,-12.0626,0.7286
274,10.96,1510.656,382.725,0.9086,12.3924,-12.3678,0.7801
275,11.0,1509.574,382.529,0.9066,12.4591,-12.4354,0.7679
276,11.04,1510.703,382.984,0.9087,12.3904,-12.3648,0.7963
277,11.08,1511.660,383.170,0.9098,12.3315,-12.3050,0.8079
278,11.12,1510.625,383.060,0.9092,12.3956,-12.3697,0.8011
279,11.16,1508.889,383.107,0.9078,12.5041,-12.4782,0.8040
280,11.2,1508.072,383.075,0.9069,12.5549,-12.5293,0.8020
281,11.24,1508.151,383.213,0.9065,12.5505,-12.5243,0.8106
282,11.28,1508.180,383.474,0.9055,12.5498,-12.5225,0.8269
283,11.32,1507.688,383.400,0.9070,12.5802,-12.5533,0.8223
284,11.36,1507.135,383.397,0.9055,12.6146,-12.5878,0.8221
285,11.4,1506.920,383.461,0.9055,12.6283,-12.6013,0.8261
286,11.44,1506.544,383.718,0.9064,12.6528,-12.6247,0.8421
287,11.48,1506.330,383.657,0.9056,12.6659,-12.6382,0.8383
288,11.52,1506.001,383.867,0.9059,12.6873,-12.6587,0.8515
289,11.56,1505.567,383.596,0.9064,12.7133,-12.6858,0.8345
290,11.6,1505.239,383.780,0.9056,12.7345,-12.7063,0.8461
291,11.64,1505.097,384.005,0.9058,12.7443,-12.7152,0.8601
292,11.68,1505.080,383.897,0.9052,12.7449,-12.7163,0.8534
293,11.72,1504.811,384.597,0.9054,12.7647,-12.7331,0.8971
294,11.76,1504.992,384.014,0.9057,12.7508,-12.7217,0.8607
295,11.8,1504.611,384.290,0.9063,12.7758,-12.7456,0.8779
296,11.84,1504.632,384.456,0.9062,12.7752,-12.7442,0.8883
297,11.88,1504.471,384.186,0.9070,12.7841,-12.7544,0.8714
298,11.92,1504.261,384.478,0.9046,12.7984,-12.7675,0.8897
299,11.96,1504.174,384.603,0.9044,12.8044,-12.7729,0.8975
300,12.0,1504.108,384.551,0.9047,12.8083,-12.7770,0.8942
301,12.04,1504.527,384.536,0.9064,12.7821,-12.7508,0.8933
302,12.08,1505.932,384.578,0.9050,12.6947,-12.6630,0.8959
303,12.12,1507.772,384.332,0.9085,12.5789,-12.5480,0.8806
304,12.16,1508.635,384.590,0.9088,12.5262,-12.4941,0.8967
305,12.2,1508.849,384.670,0.9084,12.5132,-12.4807,0.9017
306,12.24,1505.147,388.188,0.9098,12.7615,-12.7121,1.1215
307,12.28,1494.595,389.503,0.9025,13.4257,-13.3716,1.2038
308,12.32,1483.986,391.214,0.9009,14.0957,-14.0347,1.3107
309,12.36,1479.966,391.899,0.8995,14.3498,-14.2859,1.3535
310,12.4,1479.011,389.887,0.9005,14.3980,-14.3456,1.2277
311,12.44,1476.669,382.481,0.9039,14.5121,-14.4920,0.7648
312,12.48,1474.589,371.512,0.9021,14.6222,-14.6220,0.0793
313,12.52,1474.549,366.104,0.9008,14.6268,-14.6245,-0.2587
314,12.56,1474.701,365.242,0.8998,14.6183,-14.6149,-0.3126
315,12.6,1473.958,362.604,0.8973,14.6692,-14.6614,-0.4774
316,12.64,1471.937,357.632,0.8978,14.8087,-14.7877,-0.7882
317,12.68,1473.592,352.785,0.9039,14.7247,-14.6842,-1.0911
318,12.72,1473.518,353.313,0.9030,14.7269,-14.6889,-1.0581
