frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
126,5.04,1685.479,615.901,0.9917,0.6920,0.2303,-0.6525
127,5.08,1685.517,615.880,0.9922,0.6926,0.2310,-0.6530
128,5.12,1685.606,616.296,0.9921,0.6852,0.2329,-0.6444
129,5.16,1685.504,616.802,0.9919,0.6747,0.2308,-0.6340
130,5.2,1685.671,616.760,0.9919,0.6767,0.2342,-0.6348
131,5.24,1685.689,616.707,0.9917,0.6778,0.2346,-0.6359
132,5.28,1685.664,617.268,0.9919,0.6668,0.2341,-0.6244
133,5.32,1685.661,617.300,0.9921,0.6662,0.2340,-0.6237
134,5.36,1685.661,617.227,0.9917,0.6676,0.2340,-0.6252
135,5.4,1685.518,617.510,0.9922,0.6611,0.2311,-0.6194
136,5.44,1685.449,617.562,0.9926,0.6596,0.2296,-0.6183
137,5.48,1685.353,617.741,0.9917,0.6554,0.2277,-0.6146
138,5.52,1685.303,617.802,0.9922,0.6539,0.2266,-0.6134
139,5.56,1685.302,617.843,0.9918,0.6531,0.2266,-0.6125
140,5.6,1685.427,618.030,0.9918,0.6504,0.2292,-0.6087
141,5.64,1685.335,618.235,0.9922,0.6458,0.2273,-0.6045
142,5.68,1685.328,618.296,0.9923,0.6445,0.2271,-0.6032
143,5.72,1685.319,618.472,0.9919,0.6411,0.2270,-0.5996
144,5.76,1685.317,618.871,0.9919,0.6334,0.2269,-0.5913
145,5.8,1685.147,619.260,0.9915,0.6247,0.2234,-0.5833
146,5.84,1684.751,619.985,0.9917,0.6078,0.2153,-0.5684
147,5.88,1684.332,622.648,0.9928,0.5535,0.2066,-0.5135
148,5.92,1683.772,622.991,0.9922,0.5427,0.1951,-0.5064
149,5.96,1683.475,623.639,0.9928,0.5281,0.1890,-0.4931
150,6.0,1682.498,626.520,0.9937,0.4654,0.1688,-0.4337
151,6.04,1681.938,629.746,0.9928,0.3995,0.1573,-0.3673
152,6.08,1681.512,631.682,0.9941,0.3595,0.1485,-0.3274
153,6.12,1680.966,632.271,0.9934,0.3438,0.1373,-0.3152
154,6.16,1680.661,634.011,0.9938,0.3086,0.1310,-0.2794
155,6.2,1680.276,636.412,0.9946,0.2608,0.1230,-0.2299
156,6.24,1679.804,637.501,0.9948,0.2364,0.1133,-0.2075
157,6.28,1679.719,638.010,0.9947,0.2264,0.1116,-0.1970
158,6.32,1679.527,639.040,0.9949,0.2061,0.1076,-0.1758
159,6.36,1679.155,640.351,0.9950,0.1792,0.0999,-0.1488
160,6.4,1678.886,640.922,0.9946,0.1664,0.0944,-0.1370
161,6.44,1678.684,641.438,0.9955,0.1553,0.0902,-0.1264
162,6.48,1678.130,642.825,0.9953,0.1256,0.0788,-0.0978
163,6.52,1677.664,643.645,0.9961,0.1065,0.0692,-0.0809
164,6.56,1677.496,644.540,0.9963,0.0907,0.0658,-0.0625
165,6.6,1677.271,645.154,0.9960,0.0788,0.0611,-0.0498
166,6.64,1677.099,645.400,0.9957,0.0729,0.0576,-0.0447
167,6.68,1676.767,645.603,0.9960,0.0650,0.0507,-0.0406
168,6.72,1676.892,645.911,0.9953,0.0634,0.0533,-0.0342
169,6.76,1676.982,646.022,0.9953,0.0637,0.0552,-0.0319
170,6.8,1676.988,646.053,0.9952,0.0635,0.0553,-0.0313
171,6.84,1676.814,645.725,0.9961,0.0642,0.0517,-0.0380
172,6.88,1676.582,646.714,0.9967,0.0502,0.0469,-0.0177
173,6.92,1676.669,646.522,0.9965,0.0533,0.0487,-0.0216
174,6.96,1676.836,646.467,0.9963,0.0569,0.0522,-0.0228
175,7.0,1676.841,647.227,0.9961,0.0528,0.0523,-0.0071
176,7.04,1676.738,646.440,0.9966,0.0553,0.0501,-0.0233
177,7.08,1676.749,646.812,0.9963,0.0528,0.0504,-0.0156
178,7.12,1676.772,647.387,0.9965,0.0510,0.0509,-0.0038
179,7.16,1676.664,646.824,0.9963,0.0510,0.0486,-0.0154
180,7.2,1676.597,647.166,0.9965,0.0480,0.0472,-0.0084
181,7.24,1676.610,647.393,0.9968,0.0477,0.0475,-0.0037
182,7.28,1676.628,647.358,0.9966,0.0481,0.0479,-0.0044
183,7.32,1676.606,647.278,0.9967,0.0478,0.0474,-0.0060
184,7.36,1676.573,647.428,0.9970,0.0468,0.0467,-0.0029
185,7.4,1676.540,647.463,0.9968,0.0461,0.0461,-0.0022
186,7.44,1676.612,647.387,0.9969,0.0477,0.0476,-0.0038
187,7.48,1676.643,647.368,0.9967,0.0484,0.0482,-0.0042
188,7.52,1676.650,647.488,0.9968,0.0484,0.0483,-0.0017
189,7.56,1676.631,647.515,0.9969,0.0480,0.0479,-0.0012
190,7.6,1676.630,647.547,0.9969,0.0479,0.0479,-0.0005
191,7.64,1676.629,647.565,0.9968,0.0479,0.0479,-0.0001
192,7.68,1676.567,647.736,0.9967,0.0468,0.0466,0.0034
193,7.72,1676.531,647.933,0.9964,0.0465,0.0459,0.0075
194,7.76,1676.517,647.720,0.9967,0.0457,0.0456,0.0031
195,7.8,1676.459,647.852,0.9967,0.0448,0.0444,0.0058
196,7.84,1676.519,648.133,0.9966,0.0471,0.0456,0.0116
197,7.88,1676.507,648.168,0.9965,0.0470,0.0454,0.0123
198,7.92,1676.216,648.190,0.9965,0.0414,0.0394,0.0128
199,7.96,1676.106,648.274,0.9962,0.0398,0.0371,0.0145
200,8.0,1675.845,648.143,0.9963,0.0339,0.0317,0.0118
201,8.04,1675.638,647.504,0.9968,0.0275,0.0275,-0.0014
202,8.08,1675.095,646.477,0.9963,0.0278,0.0163,-0.0225
203,8.12,1674.454,645.631,0.9966,0.0401,0.0031,-0.0400
204,8.16,1673.826,644.977,0.9953,0.0543,-0.0098,-0.0534
205,8.2,1673.313,644.249,0.9959,0.0714,-0.0204,-0.0685
206,8.24,1672.796,643.053,0.9955,0.0981,-0.0311,-0.0931
