frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
116,4.64,1676.034,419.623,0.9891,4.2966,-2.4426,-3.5348
117,4.68,1675.268,418.672,0.9914,4.3215,-2.4582,-3.5542
118,4.72,1674.666,417.926,0.9927,4.3410,-2.4705,-3.5694
119,4.76,1673.908,417.082,0.9929,4.3640,-2.4860,-3.5867
120,4.8,1673.084,415.765,0.9930,4.3956,-2.5028,-3.6135
121,4.84,1672.443,414.950,0.9959,4.4168,-2.5159,-3.6302
122,4.88,1672.031,413.886,0.9936,4.4394,-2.5243,-3.6519
123,4.92,1671.700,413.499,0.9948,4.4497,-2.5310,-3.6598
124,4.96,1670.730,412.927,0.9960,4.4706,-2.5508,-3.6714
125,5.0,1670.524,411.954,0.9974,4.4893,-2.5551,-3.6913
126,5.04,1670.061,410.959,0.9941,4.5114,-2.5645,-3.7116
127,5.08,1669.345,410.672,0.9963,4.5245,-2.5791,-3.7175
128,5.12,1668.787,410.005,0.9961,4.5422,-2.5905,-3.7311
129,5.16,1668.281,408.756,0.9965,4.5690,-2.6008,-3.7566
130,5.2,1667.780,408.152,0.9965,4.5850,-2.6110,-3.7689
131,5.24,1667.254,407.184,0.9951,4.6074,-2.6218,-3.7887
132,5.28,1666.588,406.116,0.9968,4.6330,-2.6354,-3.8104
133,5.32,1666.021,404.960,0.9939,4.6590,-2.6470,-3.8340
134,5.36,1665.397,404.843,0.9971,4.6682,-2.6597,-3.8364
135,5.4,1665.346,404.290,0.9958,4.6781,-2.6607,-3.8477
136,5.44,1664.933,404.232,0.9955,4.6838,-2.6692,-3.8489
137,5.48,1664.314,403.595,0.9966,4.7017,-2.6818,-3.8619
138,5.52,1664.244,403.022,0.9969,4.7122,-2.6832,-3.8736
139,5.56,1663.991,403.117,0.9950,4.7135,-2.6884,-3.8717
140,5.6,1663.706,402.862,0.9974,4.7211,-2.6942,-3.8769
141,5.64,1663.564,402.374,0.9969,4.7309,-2.6971,-3.8868
142,5.68,1663.158,401.729,0.9967,4.7465,-2.7054,-3.9000
143,5.72,1662.836,401.782,0.9955,4.7493,-2.7119,-3.8989
144,5.76,1662.825,401.424,0.9960,4.7554,-2.7122,-3.9062
145,5.8,1662.489,400.905,0.9978,4.7681,-2.7190,-3.9168
146,5.84,1662.412,400.383,0.9961,4.7777,-2.7206,-3.9275
147,5.88,1662.075,399.981,0.9956,4.7884,-2.7275,-3.9356
148,5.92,1661.919,400.170,0.9963,4.7870,-2.7307,-3.9318
149,5.96,1661.520,399.734,0.9975,4.7990,-2.7388,-3.9407
150,6.0,1661.393,399.230,0.9972,4.8089,-2.7414,-3.9510
151,6.04,1661.007,398.723,0.9952,4.8219,-2.7493,-3.9613
152,6.08,1660.691,398.743,0.9965,4.8252,-2.7557,-3.9609
153,6.12,1660.760,398.333,0.9967,4.8313,-2.7543,-3.9693
154,6.16,1660.348,397.874,0.9977,4.8438,-2.7627,-3.9786
155,6.2,1660.262,397.343,0.9950,4.8537,-2.7645,-3.9895
156,6.24,1660.024,397.026,0.9943,4.8618,-2.7693,-3.9959
157,6.28,1659.772,397.107,0.9971,4.8634,-2.7745,-3.9943
158,6.32,1659.631,397.009,0.9980,4.8666,-2.7774,-3.9963
159,6.36,1659.610,397.036,0.9984,4.8664,-2.7778,-3.9958
160,6.4,1659.580,397.046,0.9985,4.8666,-2.7784,-3.9956
161,6.44,1659.570,397.102,0.9987,4.8658,-2.7786,-3.9944
162,6.48,1659.505,397.145,0.9986,4.8658,-2.7799,-3.9935
163,6.52,1659.946,397.154,0.9964,4.8605,-2.7709,-3.9933
164,6.56,1659.790,397.809,0.9967,4.8514,-2.7741,-3.9800
165,6.6,1659.623,398.138,0.9986,4.8478,-2.7775,-3.9733
166,6.64,1659.786,397.813,0.9970,4.8514,-2.7742,-3.9799
167,6.68,1660.361,397.952,0.9982,4.8423,-2.7625,-3.9771
168,6.72,1660.306,398.730,0.9974,4.8299,-2.7636,-3.9612
169,6.76,1660.131,398.515,0.9958,4.8356,-2.7672,-3.9656
170,6.8,1660.645,399.187,0.9979,4.8183,-2.7567,-3.9518
171,6.84,1660.892,400.319,0.9961,4.7965,-2.7516,-3.9288
