frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
128,5.12,1486.485,623.992,0.9780,0.4655,-0.3950,0.2463
129,5.16,1485.673,623.772,0.9799,0.4778,-0.4121,0.2417
130,5.2,1485.346,624.406,0.9815,0.4906,-0.4190,0.2550
131,5.24,1484.616,624.359,0.9822,0.5033,-0.4345,0.2541
132,5.28,1484.220,624.635,0.9798,0.5135,-0.4428,0.2599
133,5.32,1483.841,625.022,0.9756,0.5245,-0.4508,0.2681
134,5.36,1483.326,624.941,0.9764,0.5330,-0.4617,0.2664
135,5.4,1482.967,625.059,0.9733,0.5409,-0.4693,0.2688
136,5.44,1482.640,625.768,0.9757,0.5544,-0.4762,0.2838
137,5.48,1482.327,625.997,0.9737,0.5625,-0.4828,0.2887
138,5.52,1482.426,626.230,0.9754,0.5633,-0.4807,0.2936
139,5.56,1482.194,626.906,0.9731,0.5750,-0.4856,0.3079
140,5.6,1482.144,626.971,0.9721,0.5766,-0.4867,0.3092
141,5.64,1482.346,627.046,0.9704,0.5739,-0.4824,0.3108
142,5.68,1482.402,627.217,0.9741,0.5749,-0.4812,0.3144
143,5.72,1482.313,627.110,0.9719,0.5752,-0.4831,0.3122
144,5.76,1482.129,626.992,0.9722,0.5771,-0.4870,0.3097
145,5.8,1482.463,627.147,0.9746,0.5730,-0.4800,0.3130
146,5.84,1482.596,627.129,0.9756,0.5704,-0.4771,0.3126
147,5.88,1482.463,627.036,0.9736,0.5717,-0.4800,0.3106
148,5.92,1482.251,626.659,0.9772,0.5712,-0.4844,0.3027
149,5.96,1482.490,627.035,0.9741,0.5712,-0.4794,0.3106
150,6.0,1482.346,626.906,0.9761,0.5723,-0.4824,0.3079
151,6.04,1482.307,626.469,0.9789,0.5681,-0.4833,0.2986
152,6.08,1482.412,626.515,0.9800,0.5667,-0.4810,0.2996
153,6.12,1482.386,626.564,0.9799,0.5677,-0.4816,0.3006
154,6.16,1482.571,626.106,0.9770,0.5593,-0.4777,0.2910
155,6.2,1482.386,626.389,0.9800,0.5658,-0.4816,0.2970
156,6.24,1482.195,626.345,0.9771,0.5687,-0.4856,0.2960
157,6.28,1482.448,626.364,0.9794,0.5644,-0.4803,0.2964
158,6.32,1481.814,625.757,0.9734,0.5693,-0.4937,0.2836
159,6.36,1482.288,626.199,0.7517,0.5654,-0.4837,0.2929
160,6.4,1481.909,627.674,0.9512,0.5889,-0.4917,0.3241
161,6.44,1481.134,625.826,0.9668,0.5825,-0.5080,0.2850
