time_s,current_uA,voltage_V,confident,force_mN,stress_MPa,stress_smooth_MPa,force_smooth_mN
790.3,-272.785,10.864,True,61.59888,2.7999490909090907,2.8004645454545454,61.61022
790.4,-272.602,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
790.5,-272.694,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
790.6,-272.602,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
790.7,-272.328,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
790.8,-272.053,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
790.9,-271.961,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
791.0,-271.87,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
791.1,-271.778,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
791.2,-271.687,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
791.3,-271.595,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
791.4,-271.595,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
791.5,-271.412,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
791.6,-271.229,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
791.7,-271.229,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
791.8,-271.046,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
791.9,-271.046,10.864,True,61.59888,2.7999490909090907,2.8004645454545454,61.61022
792.0,-270.863,10.864,True,61.59888,2.7999490909090907,2.8004645454545454,61.61022
792.1,-270.863,10.864,True,61.59888,2.7999490909090907,2.8004645454545454,61.61022
792.2,-270.68,10.868,True,61.62156,2.80098,2.8004645454545454,61.61022
792.3,-270.588,10.863,True,61.59321,2.7996913636363634,2.8004645454545454,61.61022
792.4,-270.497,10.863,True,61.59321,2.7996913636363634,2.7999490909090907,61.59888
792.5,-270.497,10.868,True,61.62156,2.80098,2.7999490909090907,61.59888
792.6,-270.222,10.861,True,61.58187,2.799175909090909,2.8004645454545454,61.61022
792.7,-270.13,10.863,True,61.59321,2.7996913636363634,2.800722272727273,61.61589000000001
792.8,-269.947,10.863,True,61.59321,2.7996913636363634,2.800722272727273,61.61589000000001
792.9,-269.947,10.861,True,61.58187,2.799175909090909,2.800722272727273,61.61589000000001
793.0,-269.947,10.864,True,61.59888,2.7999490909090907,2.800722272727273,61.61589000000001
793.1,-269.764,10.864,True,61.59888,2.7999490909090907,2.800722272727273,61.61589000000001
793.2,-269.764,10.864,True,61.59888,2.7999490909090907,2.800722272727273,61.61589000000001
793.3,-269.581,10.867,True,61.61589000000001,2.800722272727273,2.8004645454545454,61.61022
793.4,-269.306,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
793.5,-269.306,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
793.6,-269.306,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
793.7,-268.94,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
793.8,-269.032,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
793.9,-268.757,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
794.0,-268.757,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
794.1,-268.574,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
794.2,-268.482,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
794.3,-268.482,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
794.4,-268.299,10.866,True,61.61022,2.8004645454545454,2.7999490909090907,61.59888
794.5,-268.208,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
794.6,-268.025,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
794.7,-267.933,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
794.8,-267.842,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
794.9,-267.75,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
795.0,-267.658,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
795.1,-267.658,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
795.2,-267.384,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
795.3,-267.475,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
795.4,-267.201,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
795.5,-267.201,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
795.6,-267.018,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
795.7,-267.018,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
795.8,-266.834,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
795.9,-266.56,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
796.0,-266.468,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
796.1,-266.468,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
796.2,-266.285,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
796.3,-266.194,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
796.4,-266.194,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
796.5,-266.102,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
796.6,-266.011,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
796.7,-265.919,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
796.8,-265.827,10.86,True,61.57619999999999,2.798918181818182,2.7999490909090907,61.59888
796.9,-265.736,10.86,True,61.57619999999999,2.798918181818182,2.7999490909090907,61.59888
797.0,-265.644,10.86,True,61.57619999999999,2.798918181818182,2.7999490909090907,61.59888
797.1,-265.461,10.86,True,61.57619999999999,2.798918181818182,2.7999490909090907,61.59888
797.2,-265.461,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
797.3,-265.278,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
797.4,-265.187,10.867,True,61.61589000000001,2.800722272727273,2.7999490909090907,61.59888
797.5,-265.095,10.861,True,61.58187,2.799175909090909,2.8004645454545454,61.61022
797.6,-265.003,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
797.7,-264.912,10.861,False,61.58187,2.799175909090909,2.7999490909090907,61.59888
797.8,-265.003,10.861,True,61.58187,2.799175909090909,2.7999490909090907,61.59888
797.9,-264.82,10.861,False,61.58187,2.799175909090909,2.7999490909090907,61.59888
798.0,-264.729,10.861,False,61.58187,2.799175909090909,2.7999490909090907,61.59888
798.1,-264.454,10.866,True,61.61022,2.8004645454545454,2.7999490909090907,61.59888
798.2,-264.363,10.866,True,61.61022,2.8004645454545454,2.7999490909090907,61.59888
798.3,-264.271,10.866,True,61.61022,2.8004645454545454,2.7999490909090907,61.59888
798.4,-264.179,10.866,True,61.61022,2.8004645454545454,2.7999490909090907,61.59888
798.5,-264.088,10.866,False,61.61022,2.8004645454545454,2.7999490909090907,61.59888
798.6,-263.996,10.868,True,61.62156,2.80098,2.7999490909090907,61.59888
798.7,-263.905,10.864,True,61.59888,2.7999490909090907,2.7999490909090907,61.59888
798.8,-263.813,10.86,True,61.57619999999999,2.798918181818182,2.7999490909090907,61.59888
798.9,-263.722,10.868,True,61.62156,2.80098,2.7999490909090907,61.59888
799.0,-263.722,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
799.1,-263.539,10.866,False,61.61022,2.8004645454545454,2.8004645454545454,61.61022
799.2,-263.355,10.866,False,61.61022,2.8004645454545454,2.8004645454545454,61.61022
799.3,-263.355,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
799.4,-263.172,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
799.5,-263.081,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
799.6,-262.989,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
799.7,-262.806,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
799.8,-262.898,10.816,True,61.32672,2.7875781818181817,2.8004645454545454,61.61022
799.9,-262.806,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
800.0,-262.623,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
800.1,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.8004645454545454,61.61022
800.2,2998.72,10.853,True,61.53651,2.797114090909091,2.8004645454545454,61.61022
800.3,2998.72,10.85,True,61.5195,2.796340909090909,2.8004645454545454,61.61022
800.4,2998.72,10.86,True,61.57619999999999,2.798918181818182,2.8004645454545454,61.61022
800.5,2998.72,10.81,True,61.2927,2.786031818181818,2.8004645454545454,61.61022
800.6,2998.72,10.866,True,61.61022,2.8004645454545454,2.8004645454545454,61.61022
800.7,2998.72,10.898,True,61.79166,2.808711818181818,2.8004645454545454,61.61022
800.8,2998.72,10.894,True,61.76898,2.8076809090909087,2.8004645454545454,61.61022
800.9,2998.72,10.894,True,61.76898,2.8076809090909087,2.8004645454545454,61.61022
801.0,2998.72,10.894,True,61.76898,2.8076809090909087,2.8004645454545454,61.61022
