time_s,current_uA,voltage_V
35.6,2998.72,11.16
35.7,2998.72,11.169
35.8,2998.72,11.178
35.9,2998.72,11.178
36.0,2998.72,11.178
36.1,2998.72,11.178
36.2,2998.72,11.1648
36.3,2998.72,11.1516
36.4,2998.72,11.1384
36.5,2998.72,11.1252
36.6,2998.72,11.112
36.7,2998.72,11.112
36.8,2998.72,11.118
36.9,2998.72,11.1174
37.0,2998.72,11.1168
37.1,2998.72,11.1162
37.2,2998.72,11.1156
37.3,2998.72,11.115
37.4,2998.72,11.115
37.5,2998.72,11.115
37.6,2998.72,11.113
37.7,2998.72,11.111
37.8,2998.72,11.127666666666666
37.9,2998.72,11.144333333333334
38.0,2998.72,11.161
38.1,2998.72,11.161
38.2,2998.72,11.161
38.3,2998.72,11.156
38.4,2998.72,11.151
38.5,2998.72,11.135
38.6,2998.72,11.119
38.7,2998.72,11.115
38.8,2998.72,11.115
38.9,2998.72,11.115
39.0,2998.72,11.119
39.1,2998.72,11.113
39.2,2998.72,11.113
39.3,2998.72,11.113
39.4,2998.72,11.115
39.5,2998.72,11.115
39.6,2998.72,11.115
39.7,2998.72,11.119
39.8,2998.72,11.114
39.9,2998.72,11.114
40.0,2998.72,11.115
40.1,2998.72,11.116
40.2,2998.72,11.117
40.3,2998.72,11.118
40.4,2998.72,11.119
40.5,2998.72,11.115
40.6,2998.72,11.116
40.7,2998.72,11.115
40.8,2998.72,11.115
40.9,2998.72,11.115
41.0,2998.72,11.115
41.1,2998.72,11.115
41.2,2998.72,11.115
41.3,2998.72,11.115
41.4,2998.72,11.114333333333333
41.5,2998.72,11.113666666666669
41.6,2998.72,11.113
41.7,2998.72,11.129666666666669
41.8,2998.72,11.146333333333333
41.9,2998.72,11.163
42.0,2998.72,11.16275
42.1,2998.72,11.1625
42.2,2998.72,11.16225
42.3,2998.72,11.162
42.4,2998.72,11.162
42.5,2998.72,11.168
42.6,2998.72,11.165
42.7,2998.72,11.165
42.8,2998.72,11.169
42.9,2998.72,11.164
43.0,2998.72,11.164
43.1,2998.72,11.1665
43.2,2998.72,11.169
43.3,2998.72,11.167
43.4,2998.72,11.167
43.5,2998.72,11.167
43.6,2998.72,11.1535
43.7,2998.72,11.14
43.8,2998.72,11.127666666666666
43.9,2998.72,11.115333333333334
44.0,2998.72,11.115666666666666
44.1,2998.72,11.116
44.2,2998.72,11.116
44.3,2998.72,11.115
44.4,2998.72,11.115
44.5,2998.72,11.115
44.6,2998.72,11.1199
44.7,2998.72,11.1248
44.8,2998.72,11.1297
44.9,2998.72,11.1346
45.0,2998.72,11.1395
45.1,2998.72,11.15225
45.2,2998.72,11.165
45.3,2998.72,11.165
45.4,2998.72,11.15825
45.5,2998.72,11.1515
45.6,2998.72,11.134
45.7,2998.72,11.129083333333334
45.8,2998.72,11.124166666666667
45.9,2998.72,11.131833333333333
46.0,2998.72,11.1395
46.1,2998.72,11.12725
46.2,2998.72,11.115
46.3,2998.72,11.115
46.4,2998.72,11.132333333333332
46.5,2998.72,11.149666666666668
46.6,2998.72,11.156333333333333
46.7,2998.72,11.163
46.8,2998.72,11.159
46.9,2998.72,11.155
47.0,2998.72,11.151
47.1,2998.72,11.139
47.2,2998.72,11.127
47.3,2998.72,11.115
47.4,2998.72,11.115
47.5,2998.72,11.1335
47.6,2998.72,11.139916666666666
47.7,2998.72,11.146333333333333
47.8,2998.72,11.140666666666666
47.9,2998.72,11.135
48.0,2998.72,11.129333333333332
48.1,2998.72,11.123666666666669
48.2,2998.72,11.118
48.3,2998.72,11.131
48.4,2998.72,11.136571428571427
48.5,2998.72,11.142142857142856
48.6,2998.72,11.159785714285714
48.7,2998.72,11.177428571428573
48.8,2998.72,11.195071428571428
48.9,2998.72,11.212714285714284
49.0,2998.72,11.214863095238094
49.1,2998.72,11.20269246031746
49.2,2998.72,11.190521825396823
49.3,2998.72,11.164031746031746
49.4,2998.72,11.137541666666667
49.5,2998.72,11.127020833333331
49.6,2998.72,11.1165
49.7,2998.72,11.11725
49.8,2998.72,11.118
49.9,2998.72,11.118
50.0,2998.72,11.117285714285714
50.1,2998.72,11.11657142857143
50.2,2998.72,11.115857142857145
50.3,2998.72,11.115142857142857
50.4,2998.72,11.11442857142857
50.5,2998.72,11.113714285714286
50.6,2998.72,11.113
50.7,2998.72,11.124
50.8,2998.72,11.135
50.9,2998.72,11.129
51.0,2998.72,11.123
51.1,2998.72,11.129125
51.2,2998.72,11.13525
51.3,2998.72,11.1535
51.4,2998.72,11.17175
51.5,2998.72,11.1725
51.6,2998.72,11.17325
51.7,2998.72,11.174
51.8,2998.72,11.177
51.9,2998.72,11.177
52.0,2998.72,11.176
52.1,2998.72,11.175
52.2,2998.72,11.175
52.3,2998.72,11.175
52.4,2998.72,11.176
52.5,2998.72,11.176
52.6,2998.72,11.176
52.7,2998.72,11.176
52.8,2998.72,11.178
52.9,2998.72,11.178
53.0,2998.72,11.178
53.1,2998.72,11.181
53.2,2998.72,11.194
53.3,2998.72,11.194
53.4,2998.72,11.194
53.5,2998.72,11.199
53.6,2998.72,11.199
53.7,2998.72,11.199
53.8,2998.72,11.1975
